red,green,blue,id
101,77,41,4
103,77,42,4
71,45,10,4
110,81,47,4
139,110,76,4
110,81,47,4
116,87,53,4
107,81,46,4
107,83,47,4
119,95,59,4
100,78,41,4
110,90,53,4
96,78,40,4
84,66,28,4
122,102,78,4
112,92,67,4
104,87,61,4
88,71,43,4
74,57,29,4
86,69,41,4
87,70,40,4
107,90,60,4
89,74,43,4
173,158,129,4
76,60,34,4
43,27,2,4
112,98,72,4
79,64,41,4
65,50,29,4
117,102,81,4
159,142,96,4
132,115,69,4
139,122,76,4
82,65,19,4
131,114,70,4
125,106,63,4
104,85,42,4
117,98,55,4
106,85,42,4
118,96,55,4
122,100,59,4
123,100,59,4
87,64,23,4
102,78,40,4
94,70,32,4
122,98,60,4
67,42,12,4
82,57,27,4
112,87,57,4
94,69,38,4
118,93,62,4
147,122,91,4
151,126,95,4
132,106,73,4
136,110,77,4
135,109,76,4
132,106,71,4
118,92,57,4
82,53,19,4
82,53,19,4
76,47,13,4
105,76,42,4
115,85,47,4
110,80,42,4
98,68,30,4
126,96,58,4
127,97,59,4
160,130,92,4
135,107,70,4
109,81,44,4
164,136,99,4
137,109,72,4
125,99,64,4
146,120,85,4
147,121,86,4
130,104,69,4
103,77,42,4
139,113,78,4
94,64,40,4
78,47,26,4
164,136,114,4
133,105,84,4
101,74,55,4
109,84,64,4
98,72,55,4
75,49,32,4
105,79,62,4
83,57,40,4
112,87,67,4
100,73,54,4
81,53,32,4
82,54,32,4
138,107,86,4
112,82,58,4
68,44,20,4
90,66,42,4
94,70,46,4
44,20,0,4
51,29,5,4
131,109,85,4
91,69,45,4
106,84,60,4
73,51,27,4
65,45,20,4
63,43,18,4
117,97,72,4
158,138,113,4
103,83,58,4
124,104,79,4
106,86,61,4
104,87,69,4
97,80,62,4
114,97,79,4
91,74,56,4
78,61,43,4
97,80,62,4
50,33,15,4
62,45,27,4
84,67,49,4
57,40,22,4
77,60,42,4
90,73,55,4
47,30,12,4
88,71,53,4
138,121,103,4
90,73,55,4
84,58,45,4
111,88,74,4
138,115,101,4
68,46,32,4
45,26,9,4
63,46,28,4
145,130,111,4
118,103,84,4
36,21,2,4
90,75,56,4
127,112,93,4
78,63,44,4
80,63,45,4
64,47,29,4
60,41,24,4
76,57,40,4
85,67,47,4
82,64,44,4
118,99,82,4
78,59,42,4
78,59,44,4
56,38,24,4
95,77,65,4
39,21,9,4
63,46,36,4
100,83,73,4
106,90,77,4
59,45,32,4
55,42,26,4
42,29,13,4
60,47,30,4
81,68,51,4
113,97,72,4
88,72,47,4
115,99,74,4
41,23,0,4
65,48,22,4
81,64,38,4
75,58,32,4
65,48,20,4
82,62,35,4
116,96,69,4
99,79,52,4
125,106,76,4
141,122,92,4
96,75,46,4
107,86,57,4
71,50,21,4
71,48,34,4
104,81,67,4
89,67,53,4
76,57,43,4
55,37,23,4
91,75,60,4
64,51,35,4
105,93,77,4
52,43,28,4
96,87,72,4
84,75,60,4
87,78,63,4
63,51,39,4
55,43,31,4
84,72,60,4
82,70,58,4
122,115,97,4
18,11,0,4
89,82,66,4
54,47,31,4
50,43,27,4
59,52,36,4
63,55,42,4
98,90,77,4
72,64,51,4
76,68,55,4
97,89,78,4
46,38,27,4
46,38,27,4
53,45,34,4
7,0,0,4
56,48,37,4
35,28,20,4
40,33,25,4
86,79,71,4
149,142,134,4
90,83,75,4
22,13,6,4
83,74,67,4
139,130,123,4
36,25,19,4
64,53,47,4
18,7,1,4
71,60,54,4
94,81,75,4
31,18,12,4
32,19,13,4
41,28,22,4
76,58,46,4
59,41,29,4
68,52,39,4
49,33,20,4
86,70,57,4
73,57,44,4
138,124,111,4
119,105,92,4
87,73,60,4
106,92,79,4
115,101,88,4
69,57,43,4
103,91,77,4
128,116,102,4
56,44,30,4
55,43,29,4
46,37,28,4
58,49,40,4
94,85,76,4
121,112,103,4
120,110,101,4
136,126,117,4
100,90,81,4
88,78,69,4
81,71,62,4
89,76,68,4
51,38,30,4
62,49,41,4
48,35,27,4
59,46,38,4
64,49,42,4
84,69,62,4
80,71,62,4
88,79,70,4
156,147,138,4
132,123,114,4
66,57,48,4
67,58,49,4
56,47,38,4
40,31,22,4
52,43,34,4
39,30,21,4
66,57,48,4
42,33,24,4
25,16,7,4
25,16,7,4
44,35,26,4
45,36,27,4
45,35,26,4
73,60,52,4
81,68,59,4
40,27,18,4
67,53,42,4
25,11,0,4
11,0,0,4
23,9,0,4
61,47,34,4
72,60,46,4
148,136,122,4
127,117,105,4
119,111,100,4
119,113,101,4
31,27,16,4
89,85,74,4
149,140,133,4
121,114,106,4
96,89,81,4
97,93,84,4
101,97,88,4
30,27,18,4
49,46,37,4
57,57,47,4
34,34,24,4
70,67,58,4
78,75,66,4
227,223,214,4
129,125,116,4
11,4,0,4
69,60,53,4
99,90,83,4
72,69,50,4
46,43,24,4
67,64,45,4
119,116,97,4
73,70,51,4
114,109,90,4
38,33,14,4
40,35,16,4
58,53,34,4
62,55,37,4
54,47,29,4
52,45,27,4
65,58,40,4
81,74,56,4
58,51,33,4
74,65,48,4
71,52,38,4
136,117,103,4
81,62,48,4
60,42,28,4
63,45,31,4
39,23,8,4
70,54,39,4
68,52,37,4
71,55,40,4
81,63,49,4
75,57,43,4
64,45,31,4
68,46,33,4
78,54,42,4
102,78,66,4
134,107,96,4
103,77,60,4
92,66,49,4
76,50,33,4
99,76,58,4
79,56,38,4
72,49,31,4
99,76,58,4
28,7,0,4
86,65,46,4
72,51,32,4
117,96,77,4
99,78,59,4
84,63,44,4
85,64,45,4
76,58,38,4
83,65,45,4
173,147,114,4
121,95,62,4
73,46,16,4
90,65,34,4
102,77,47,4
130,104,77,4
95,69,42,4
88,62,37,4
84,60,34,4
109,85,57,4
140,116,88,4
102,79,48,4
90,67,35,4
128,108,75,4
156,136,101,4
97,77,42,4
97,71,38,4
107,81,48,4
120,94,61,4
100,74,41,4
80,51,19,4
134,105,73,4
98,69,39,4
110,81,51,4
182,153,123,4
210,183,153,4
139,114,83,4
112,89,58,4
89,68,37,4
113,94,62,4
136,120,87,4
110,94,61,4
95,75,38,4
109,86,52,4
99,76,42,4
103,78,47,4
113,88,57,4
79,52,23,4
116,86,60,4
82,52,26,4
161,131,107,4
64,34,10,4
108,80,58,4
117,91,68,4
107,81,58,4
100,76,52,4
99,75,51,4
82,60,36,4
133,109,85,4
99,75,51,4
63,38,16,4
62,37,15,4
95,70,48,4
134,109,87,4
100,75,53,4
123,98,78,4
122,97,77,4
96,71,49,4
82,60,37,4
95,73,50,4
103,81,58,4
96,74,51,4
94,72,48,4
102,80,56,4
102,81,54,4
85,64,37,4
102,81,54,4
88,67,40,4
87,66,39,4
72,51,24,4
96,75,46,4
89,68,39,4
99,78,49,4
94,73,44,4
98,77,46,4
98,77,46,4
88,67,36,4
98,77,46,4
55,34,3,4
88,67,36,4
85,69,36,4
75,59,26,4
99,82,52,4
85,68,38,4
90,70,43,4
79,59,32,4
119,99,72,4
147,127,100,4
87,67,40,4
116,97,67,4
130,111,81,4
111,92,60,4
143,124,91,4
156,138,102,4
146,128,92,4
161,143,105,4
131,111,76,4
114,94,61,4
116,96,63,4
121,100,69,4
85,64,33,4
88,67,38,4
89,68,41,4
107,86,59,4
74,53,26,4
97,76,49,4
90,69,40,4
70,49,18,4
129,108,77,4
158,138,105,4
113,93,60,4
123,103,68,4
128,116,76,4
124,112,72,4
101,92,53,4
93,83,47,4
101,93,57,4
122,114,78,4
127,121,87,4
97,91,57,4
102,96,64,4
38,32,0,4
54,45,12,4
99,90,57,4
84,74,39,4
94,84,49,4
133,120,85,4
135,122,87,4
124,104,35,4
87,67,0,4
104,84,15,4
121,101,32,4
137,118,49,4
175,156,87,4
118,99,30,4
101,84,14,4
92,75,5,4
88,74,3,4
152,138,67,4
134,122,50,4
105,93,21,4
117,105,33,4
82,70,0,4
73,61,0,4
137,127,56,4
150,138,66,4
195,179,104,4
182,163,86,4
151,130,51,4
96,75,0,4
99,77,2,4
84,66,0,4
92,77,8,4
76,62,0,4
122,111,47,4
64,53,0,4
100,85,20,4
135,116,50,4
105,82,14,4
129,105,35,4
150,126,90,4
145,121,85,4
171,147,111,4
144,120,82,4
120,96,58,4
111,88,47,4
123,98,57,4
117,92,51,4
148,124,80,4
134,107,62,4
128,101,54,4
131,104,57,4
103,77,28,4
105,77,29,4
123,95,47,4
143,115,65,4
151,124,57,4
151,124,57,4
143,116,49,4
111,84,17,4
138,111,44,4
138,111,44,4
164,137,70,4
179,152,85,4
193,166,99,4
162,135,68,4
164,137,70,4
139,112,45,4
126,99,32,4
112,85,18,4
170,143,76,4
167,140,73,4
132,107,41,4
193,168,104,4
94,70,6,4
107,83,23,4
175,153,95,4
134,113,56,4
123,104,48,4
114,94,41,4
98,81,29,4
102,82,32,4
97,77,27,4
119,99,49,4
112,90,41,4
90,68,19,4
86,62,14,4
108,85,35,4
95,74,27,4
148,127,80,4
140,119,74,4
135,114,69,4
91,70,25,4
115,94,51,4
111,88,46,4
147,124,82,4
106,83,42,4
109,86,45,4
74,49,9,4
74,49,9,4
94,69,29,4
153,128,88,4
118,93,53,4
63,38,0,4
108,80,41,4
111,83,46,4
94,64,30,4
105,74,45,4
112,78,50,4
152,117,89,4
145,110,80,4
139,103,69,4
77,42,2,4
95,62,19,4
104,71,26,4
100,69,23,4
110,78,37,4
113,83,45,4
104,74,40,4
103,72,41,4
137,107,69,4
128,99,59,4
139,110,68,4
120,91,47,4
97,69,21,4
105,78,25,4
118,88,34,4
135,106,48,4
140,112,49,4
158,131,64,4
169,140,72,4
186,157,87,4
145,116,46,4
155,127,54,4
137,109,36,4
104,76,3,4
124,90,52,4
116,82,44,4
92,58,20,4
117,81,45,4
125,89,53,4
110,74,38,4
133,97,63,4
139,103,71,4
209,174,144,4
136,103,72,4
135,104,75,4
117,87,59,4
90,63,36,4
80,54,29,4
97,73,47,4
59,35,9,4
90,58,37,4
72,40,17,4
108,76,53,4
161,129,104,4
93,59,32,4
116,82,54,4
128,93,63,4
107,72,40,4
100,64,30,4
156,121,83,4
154,116,77,4
147,110,68,4
119,80,37,4
152,114,69,4
165,127,82,4
134,96,51,4
147,116,62,4
139,108,54,4
147,114,61,4
138,105,54,4
107,71,21,4
118,82,32,4
110,74,24,4
131,95,47,4
151,115,67,4
150,116,68,4
115,83,34,4
116,86,36,4
94,67,14,4
113,86,33,4
115,90,36,4
106,81,27,4
123,99,65,4
125,102,68,4
151,128,94,4
116,94,57,4
119,97,60,4
117,95,56,4
108,86,47,4
97,78,38,4
93,74,34,4
158,138,101,4
126,106,69,4
123,105,69,4
140,121,88,4
105,86,54,4
80,61,29,4
42,23,0,4
120,100,39,4
83,63,2,4
130,110,49,4
138,118,57,4
133,111,51,4
171,149,89,4
122,98,38,4
106,82,22,4
106,80,21,4
110,84,25,4
116,87,31,4
109,80,24,4
75,44,0,4
90,59,5,4
73,42,0,4
100,69,15,4
115,83,42,4
90,58,17,4
91,60,16,4
58,27,0,4
81,48,5,4
88,55,10,4
105,72,27,4
137,105,58,4
161,127,81,4
126,92,44,4
118,85,34,4
139,106,55,4
129,93,43,4
136,100,48,4
120,84,32,4
161,125,73,4
189,150,95,4
142,103,48,4
115,76,21,4
172,132,80,4
141,101,49,4
135,98,45,4
110,73,20,4
127,90,38,4
144,107,55,4
95,59,7,4
119,83,33,4
115,79,29,4
153,120,69,4
113,80,29,4
109,76,25,4
125,92,41,4
122,83,54,4
97,60,31,4
120,83,54,4
102,67,39,4
86,52,25,4
83,49,22,4
126,94,69,4
69,37,12,4
85,53,28,4
119,87,62,4
174,140,113,4
113,79,52,4
147,112,84,4
115,78,49,4
70,33,4,4
89,50,21,4
116,85,54,4
104,73,42,4
149,118,87,4
155,124,93,4
175,144,113,4
178,147,116,4
87,58,26,4
150,121,89,4
91,62,30,4
185,159,126,4
94,68,35,4
113,87,54,4
95,69,36,4
129,105,71,4
118,94,60,4
168,144,110,4
95,73,50,4
77,55,32,4
118,96,73,4
90,68,45,4
72,50,27,4
90,68,45,4
127,105,82,4
73,51,28,4
44,22,0,4
98,76,53,4
57,35,12,4
106,84,61,4
124,102,79,4
115,93,70,4
50,28,5,4
92,70,47,4
69,38,18,4
97,66,46,4
55,27,6,4
84,57,36,4
90,65,43,4
72,50,27,4
48,26,3,4
71,51,27,4
53,33,9,4
85,65,41,4
47,27,3,4
127,105,82,4
143,121,98,4
75,50,28,4
71,46,24,4
71,46,24,4
102,76,53,4
79,53,30,4
72,47,25,4
75,50,30,4
95,70,50,4
116,93,75,4
69,46,30,4
81,58,42,4
62,40,26,4
71,49,35,4
80,61,44,4
48,29,12,4
72,54,34,4
105,88,68,4
126,109,89,4
84,68,45,4
45,22,0,4
83,60,26,4
105,83,46,4
111,89,52,4
93,71,34,4
172,150,111,4
105,81,43,4
88,65,24,4
104,81,40,4
131,108,66,4
69,44,3,4
80,55,14,4
93,69,25,4
74,50,6,4
94,70,26,4
63,39,0,4
84,53,35,4
151,122,106,4
81,54,37,4
99,73,56,4
85,62,44,4
89,68,49,4
91,73,53,4
71,54,36,4
59,44,25,4
102,87,68,4
73,60,41,4
33,20,1,4
148,135,118,4
147,131,115,4
47,31,15,4
192,176,160,4
190,179,159,4
123,112,92,4
175,164,144,4
136,125,107,4
53,42,24,4
41,32,15,4
126,117,100,4
88,79,62,4
105,96,81,4
103,94,79,4
120,111,96,4
68,56,42,4
79,67,53,4
105,93,79,4
67,55,41,4
127,115,101,4
21,15,1,4
54,48,34,4
51,43,30,4
78,70,57,4
99,91,78,4
55,45,33,4
39,29,17,4
65,53,41,4
45,31,20,4
63,49,38,4
80,63,53,4
83,66,56,4
66,49,39,4
53,35,25,4
137,119,109,4
49,31,21,4
94,73,56,4
90,69,52,4
67,46,29,4
58,37,20,4
56,37,20,4
89,70,53,4
81,64,46,4
67,50,32,4
42,25,7,4
35,18,0,4
39,22,4,4
38,21,3,4
64,47,31,4
91,74,58,4
71,54,38,4
52,35,19,4
63,51,37,4
58,44,31,4
51,37,24,4
58,44,31,4
44,30,17,4
68,54,41,4
47,33,20,4
42,26,13,4
100,84,71,4
141,125,112,4
55,39,26,4
100,84,71,4
74,56,44,4
48,30,18,4
66,48,36,4
54,36,24,4
44,32,20,4
45,33,21,4
98,86,74,4
99,87,75,4
108,96,84,4
160,148,136,4
143,131,119,4
103,91,79,4
97,85,73,4
82,70,58,4
175,163,151,4
161,149,137,4
98,86,74,4
99,87,75,4
115,103,91,4
51,39,27,4
49,33,20,4
79,63,50,4
124,106,92,4
101,83,69,4
108,89,74,4
60,41,24,4
86,67,50,4
73,55,35,4
92,75,55,4
110,95,76,4
75,60,41,4
91,78,61,4
121,109,93,4
114,105,88,4
54,47,31,4
41,34,18,4
137,127,115,4
124,114,102,4
82,74,61,4
123,115,102,4
166,160,146,4
117,114,99,4
166,162,150,4
155,153,140,4
124,122,109,4
112,108,96,4
53,49,37,4
52,46,34,4
107,101,89,4
77,69,58,4
55,47,36,4
73,63,53,4
88,82,58,4
88,82,58,4
104,98,74,4
27,21,0,4
37,31,7,4
57,51,27,4
51,43,20,4
70,62,39,4
46,38,15,4
44,36,13,4
82,71,49,4
116,105,83,4
30,19,0,4
94,83,61,4
84,73,51,4
58,47,25,4
74,47,30,4
90,64,47,4
101,75,58,4
59,33,16,4
61,38,20,4
92,69,51,4
71,50,31,4
70,49,30,4
84,61,43,4
86,63,45,4
71,45,28,4
64,37,20,4
79,52,35,4
90,61,45,4
101,69,54,4
120,88,73,4
74,42,19,4
92,60,37,4
68,36,13,4
121,91,67,4
123,93,69,4
79,51,27,4
122,94,70,4
116,88,64,4
90,62,38,4
57,31,6,4
100,74,49,4
78,52,27,4
101,75,50,4
97,71,46,4
88,60,36,4
75,47,23,4
92,64,25,4
110,82,43,4
102,74,37,4
104,76,39,4
93,64,30,4
132,103,71,4
95,69,36,4
74,47,17,4
89,62,32,4
111,85,52,4
98,74,40,4
85,61,25,4
158,134,96,4
102,78,40,4
82,59,18,4
138,115,74,4
119,89,51,4
127,97,59,4
131,101,63,4
140,108,70,4
203,171,133,4
122,90,52,4
76,43,8,4
128,95,60,4
190,157,122,4
110,80,44,4
120,92,55,4
155,129,94,4
105,81,45,4
152,130,93,4
75,55,18,4
96,76,39,4
98,75,31,4
113,89,45,4
114,89,48,4
125,97,58,4
123,95,58,4
114,84,50,4
115,82,51,4
119,85,57,4
75,41,14,4
131,97,70,4
101,69,44,4
93,63,37,4
71,41,15,4
72,45,18,4
157,130,103,4
97,71,44,4
101,74,47,4
113,86,59,4
108,81,54,4
129,101,77,4
128,100,76,4
76,50,25,4
53,27,4,4
84,58,35,4
88,62,39,4
86,60,37,4
88,62,37,4
91,65,40,4
88,62,37,4
82,56,29,4
85,59,32,4
93,67,40,4
90,67,35,4
76,53,21,4
97,74,42,4
130,107,75,4
127,104,72,4
116,93,61,4
98,75,43,4
71,48,14,4
74,51,17,4
98,75,41,4
81,58,24,4
105,83,46,4
104,82,45,4
119,97,60,4
126,104,67,4
168,146,109,4
100,82,46,4
90,72,36,4
62,43,10,4
91,72,39,4
89,70,37,4
57,36,5,4
79,58,27,4
100,79,48,4
123,103,70,4
85,65,32,4
117,97,62,4
95,75,38,4
128,109,69,4
152,133,91,4
94,75,32,4
77,56,13,4
110,88,49,4
62,40,1,4
52,30,0,4
107,85,48,4
99,76,42,4
119,96,62,4
97,74,42,4
106,83,51,4
126,103,71,4
123,100,68,4
137,114,80,4
125,102,68,4
56,34,0,4
54,32,0,4
108,86,47,4
92,70,31,4
64,50,5,4
58,43,0,4
91,78,34,4
117,104,62,4
73,61,21,4
47,38,0,4
65,56,17,4
49,40,1,4
56,46,10,4
94,85,46,4
82,73,34,4
97,85,45,4
105,91,52,4
96,83,41,4
79,64,23,4
133,118,77,4
123,99,27,4
126,102,30,4
140,116,44,4
161,137,65,4
107,85,12,4
121,99,26,4
104,84,11,4
99,79,6,4
183,165,91,4
149,131,57,4
130,114,39,4
106,90,15,4
95,79,4,4
135,121,46,4
166,152,77,4
154,140,65,4
108,95,27,4
102,87,18,4
108,90,18,4
151,129,54,4
150,124,49,4
138,112,37,4
156,129,58,4
138,115,47,4
143,124,58,4
202,184,122,4
136,120,61,4
150,131,73,4
162,142,83,4
144,120,58,4
186,158,93,4
149,120,54,4
134,107,64,4
210,183,140,4
117,90,45,4
45,18,0,4
175,148,101,4
169,141,93,4
126,98,50,4
109,81,31,4
144,114,62,4
136,106,52,4
125,96,40,4
147,116,59,4
158,127,70,4
177,147,87,4
160,130,70,4
147,117,57,4
111,77,14,4
126,92,29,4
117,83,20,4
117,83,20,4
139,105,42,4
145,111,48,4
129,95,32,4
128,94,31,4
158,124,61,4
158,124,61,4
170,136,73,4
135,101,38,4
160,126,63,4
128,94,31,4
150,116,53,4
125,91,28,4
158,127,63,4
182,152,90,4
170,140,80,4
132,103,45,4
104,78,21,4
106,81,27,4
121,95,44,4
111,88,38,4
128,104,56,4
125,101,55,4
109,85,41,4
89,65,21,4
102,75,32,4
119,90,48,4
102,73,31,4
176,147,105,4
108,86,29,4
128,106,49,4
116,94,37,4
158,135,81,4
165,142,90,4
165,139,88,4
113,87,38,4
107,81,32,4
64,38,0,4
115,89,40,4
146,118,70,4
124,96,48,4
105,77,29,4
108,80,32,4
110,82,32,4
97,69,19,4
160,129,82,4
151,118,73,4
125,92,51,4
143,108,70,4
134,96,60,4
146,108,72,4
122,82,46,4
118,79,36,4
89,48,2,4
155,118,66,4
177,140,87,4
157,121,69,4
161,125,75,4
152,118,72,4
117,82,40,4
95,60,20,4
202,168,131,4
139,104,66,4
89,54,16,4
99,64,24,4
103,69,24,4
118,84,38,4
154,120,72,4
143,107,55,4
129,94,40,4
101,66,10,4
136,101,43,4
106,70,10,4
99,63,1,4
126,90,28,4
153,118,54,4
159,124,60,4
123,82,38,4
137,96,52,4
98,57,13,4
153,110,67,4
202,159,116,4
142,99,57,4
109,67,25,4
110,68,28,4
129,90,51,4
113,75,38,4
101,65,31,4
110,75,43,4
105,74,43,4
68,39,9,4
118,88,60,4
83,56,27,4
100,63,37,4
72,35,8,4
90,53,26,4
124,85,56,4
75,36,5,4
98,57,25,4
126,86,50,4
124,82,44,4
176,133,91,4
107,64,21,4
105,61,14,4
205,161,112,4
153,107,57,4
164,118,66,4
182,136,84,4
144,99,44,4
127,85,35,4
119,77,27,4
131,89,39,4
172,130,82,4
149,105,60,4
128,84,39,4
98,53,11,4
181,136,94,4
123,80,37,4
167,125,83,4
139,101,56,4
159,122,77,4
138,104,58,4
137,105,58,4
127,95,48,4
98,67,20,4
104,79,38,4
94,69,28,4
97,72,31,4
87,63,19,4
78,55,11,4
107,85,38,4
100,78,31,4
125,103,56,4
106,84,37,4
122,101,56,4
119,98,53,4
107,86,43,4
110,88,47,4
130,108,69,4
116,94,55,4
57,37,0,4
148,125,71,4
123,100,46,4
127,104,50,4
124,99,43,4
65,40,0,4
116,89,34,4
94,64,10,4
114,84,30,4
132,101,47,4
120,87,36,4
136,100,50,4
118,82,34,4
115,77,30,4
120,82,37,4
105,64,20,4
115,74,30,4
109,70,37,4
98,60,24,4
130,92,56,4
121,83,47,4
145,107,70,4
105,65,29,4
91,52,13,4
139,100,59,4
111,69,27,4
110,68,26,4
127,86,42,4
135,92,47,4
86,43,0,4
86,44,0,4
85,43,0,4
153,111,63,4
151,103,54,4
97,49,0,4
95,47,0,4
170,122,73,4
134,86,38,4
107,61,12,4
114,68,19,4
174,127,81,4
192,148,101,4
130,86,39,4
152,108,63,4
101,58,13,4
138,95,50,4
98,55,12,4
98,55,12,4
84,41,0,4
97,54,20,4
101,58,24,4
90,47,13,4
119,78,46,4
122,83,52,4
92,53,22,4
122,85,56,4
58,21,0,4
136,99,70,4
188,151,122,4
169,130,99,4
59,20,0,4
128,87,55,4
124,81,47,4
81,38,4,4
164,121,87,4
108,72,36,4
112,76,40,4
161,125,89,4
107,71,35,4
129,93,57,4
145,111,74,4
93,59,22,4
115,81,44,4
124,92,54,4
184,152,114,4
142,110,72,4
87,57,19,4
161,131,93,4
161,131,93,4
114,84,46,4
87,57,19,4
79,53,26,4
101,75,48,4
113,87,60,4
173,147,120,4
99,73,46,4
99,73,46,4
130,106,78,4
45,21,0,4
128,104,76,4
99,75,47,4
92,68,40,4
107,83,55,4
85,61,33,4
59,35,7,4
76,52,24,4
83,59,31,4
79,45,20,4
161,129,104,4
74,42,17,4
75,45,19,4
49,22,0,4
103,77,52,4
71,45,20,4
89,65,39,4
101,77,51,4
63,39,13,4
121,97,71,4
88,62,37,4
94,68,43,4
128,100,76,4
82,54,32,4
120,92,70,4
68,38,12,4
97,69,45,4
91,63,39,4
81,53,31,4
54,26,5,4
182,155,136,4
137,110,91,4
86,60,43,4
63,37,20,4
112,89,71,4
114,91,73,4
54,33,12,4
76,55,34,4
61,41,17,4
61,43,19,4
67,49,25,4
115,88,61,4
75,48,21,4
90,63,36,4
74,47,20,4
107,80,51,4
72,42,14,4
89,60,30,4
98,69,39,4
78,49,17,4
87,58,24,4
136,106,72,4
73,43,7,4
92,62,26,4
184,154,116,4
75,45,7,4
66,36,0,4
50,15,0,4
100,67,48,4
81,50,30,4
