id,name,parent
225,Saint Thomas,
226,French Second Republic,
227,Venetian Republic,
228,Suffolk,
229,Republic of Venice,
230,Rhine Province,
231,Austro-Hungarian Empire,
232,Pennsylvania,
233,Cher,
234,Lancashire,
235,Connecticut,
236,New York,
237,Spain,
238,Papal States,
239,Doubs,
240,Duchy of Milan,
241,Normandy,
242,Indiana,
243,Taurida,
244,North Riding of Yorkshire,
245,Ohio,
246,Swedish Pomerania,
247,July Monarchy,
248,Gréville-Hague,
249,Saône-et-Loire,
250,Holland,
251,Duchy of Brabant,
252,West Sussex,
253,New Jersey,
254,Scotland,
255,Travancore (present day Trivandrum,
256,Kingdom of France,
257,Sweden–Norway,
258,OhioUnited States of America,
259,Kingdom of Bavaria,
260,Southern Netherlands,
261,Spanish Netherlands,
262,Grand Duchy of Finland,
263,Buckinghamshire,
264,Kingdom of Hungary,
265,Iowa,
266,Staffordshire,
267,Poland[a],
268,Devon,
269,Margraviate of Moravia,
270,Maine,
271,Bohemia,
272,Waadhoeke,
273,Crown of Castile,
274,Piedmont,
275,Grand Duchy of Tuscany,
276,Mexico City,308.0
277,Duchy of Modena and Reggio,
278,Black Forest,
279,Sussex,
280,Hampshire,
281,Burgundy,
282,Tyrol,
283,Empire of Austria,
284,Italy,
285,Guangdong,
286,Germany,
287,Margraviate of Brandenburg,
288,Languedoc,
289,Switzerland,
290,Japan,
291,County Limerick,
292,Saint-Domingue,
293,Duchy of Parma,
294,California,
295,Meurthe-et-Moselle,
296,Holy Roman Empire,
297,Kingdom of Prussia,
298,Congress Poland,
299,Roman Republic(now Rome,
300,Bloomsbury,
301,Département du Nord,
302,Glasgow,
303,Province of Schleswig-Holstein,
304,Belgium,
305,Westphalia,
306,Province of Pennsylvania,
307,Hardangerfjord,
308,Mexico,
309,Kingdom of Hungary (now Mukachevo,
310,Maine-et-Loire,
311,Transleithania,
312,Marche,
313,Russian Empire,
314,Crete,
315,Wisconsin,
316,Moskovsky Uyezd,
317,British India,
318,Surrey,
319,Maryland,
320,Ireland,
321,Chertsey,
322,Norway,
323,Republic of Genoa,
324,near Grenaa Denmark,
325,Lombardy,
326,County Dublin,
327,Ilocos Norte,
328,Hérault,
329,Kiev Governorate,
330,Dâmbovița County,
331,Nassau-Dillenburg,
332,Seine,
333,Bishopric of Utrecht,
334,Kent,
335,Oise,
336,Duchy of Savoy,
337,Rhône,
338,Seine-et-Marne,
339,France[1],
340,Kingdom of Sicily,
341,Italy),
342,Auvers-sur-Oise,214.0
343,Cagnes-sur-Mer,214.0
344,Giverny,214.0
345,Chelsea,7.0
346,Prouts Neck,270.0
347,Saint-André-du-Bois,455.0
348,Atuona,456.0
349,Moret-sur-Loing,214.0
350,Château de Beaufresne,458.0
351,St. Augustine,459.0
352,Santa Barbara,294.0
353,Gennevilliers,214.0
354,Bridge of Allan,254.0
355,Cercedilla,237.0
356,La Tour-de-Peilz,289.0
357,Porto Ercole,461.0
358,Deauville,214.0
359,Limpsfield,318.0
360,Ridgefield,235.0
361,Louvre,2.0
362,East Hampton,236.0
363,Kensington,7.0
364,Dresden,463.0
365,Chenecey-Buillon,464.0
366,Barbizon,465.0
367,Marylebone,466.0
368,La Baule,467.0
369,Nogent-sur-Marne,468.0
370,Orly,469.0
371,Killearn Hospital,
372,Attingal,470.0
373,Falun,471.0
374,90 Grove Street,472.0
375,Frauenkirch-Wildboden [de],473.0
376,Fulham,7.0
377,Iowa City,265.0
378,Eltham,475.0
379,Cuernavaca,308.0
380,Leicester Fields,7.0
381,Casalmaggiore,229.0
382,Prague,476.0
383,Ixelles,304.0
384,Ellsworth,270.0
385,Staten Island,477.0
386,Wiesbaden,478.0
387,Clos Lucé,479.0
388,Meudon,455.0
389,Frankfurt am Main,478.0
390,Epsom,318.0
391,Acquigny,214.0
392,Munich,
393,Kew,219.0
394,Hollywood,447.0
395,Pozsony,480.0
396,Arpajon,
397,Muralto,289.0
398,Penzance,482.0
399,Falmouth,482.0
400,Kraków,485.0
401,Greenwich,7.0
402,Ramsgate,334.0
403,Buré,214.0
404,Vésinet,214.0
405,Varennes-Jarcy,214.0
406,Seebüll [de],487.0
407,Schaerbeek,304.0
408,Covent Garden,219.0
409,Menton,488.0
410,Ibid.,
411,Essonnes,214.0
412,Balestrand,492.0
413,Endenlich,478.0
414,Le Cannet,488.0
415,Bordighera,284.0
416,Hyme House,493.0
417,Neuilly-sur-Seine,214.0
418,Toledo,237.0
419,Mantua,
420,Petrograd,313.0
421,Amesbury,222.0
422,Redhill,318.0
423,Worcester,219.0
424,Mergellina,118.0
425,Leinsweiler,494.0
426,Lower Halliford,219.0
427,Volendam,213.0
428,Voorburg,213.0
429,Fredensborg,495.0
430,Hamburg,286.0
431,Newlyn,482.0
432,British Hong Kong,
433,Purbrook,280.0
434,Frankfurt,
435,Asnières-sur-Seine,
436,Woodbury,235.0
437,Elizabethtown,236.0
438,Beaune-la-Rolande,214.0
439,Leningrad,496.0
440,St. Peter,497.0
441,Câmpina,498.0
442,Goa,
443,La Route de Serra Capeou,414.0
444,?,
445,Herengracht,213.0
446,Boca Grande,459.0
447,Los Angeles,294.0
448,Broadmoor Hospital,500.0
449,Fronsac,
450,Monchy-Saint-Éloi,214.0
451,Villiers-le-Bel,501.0
452,Spoleto,238.0
453,Paris[1],
454,Austria-Hungary,
455,French Third Republic,
456,Marquesas Islands,
457,U.S.,
458,near Paris,
459,Florida,
460,Republic of Venice (now Veneto,
461,State of the Presidi,
462,US,
463,Kingdom of Saxony,
464,Third French Republic,
465,Île de France,
466,Middlesex,
467,Loire-Inférieure,
468,[1] France,
469,Val-de-Marne,
470,Travancore,
471,Sweden,
472,New York CityNew York,
473,Davos,
474,Hungary,
475,Victoria,
476,Protectorate of Bohemia and Moravia,
477,New York[1],
478,German Empire,
479,Amboise,
480,Hungary  (today Bratislava,
481,Province of Brandenburg,
482,Cornwall,
483,Polish–Lithuanian Commonwealth,
484,Great Britain,
485,Poland,
486,Kingdom of Spain,
487,Schleswig-Holstein,
488,Alpes-Maritimes,
489,United Kingdom,
490,Kingdom of Italy,
491,Weimar Republic,
492,Sogn og Fjordane,
493,Hampstead,
494,Bavaria,
495,Denmark,
496,Russian SFSR,
497,Minnesota,
498,Romania,
499,Second Polish Republic,
500,Berkshire,
501,Val-d'Oise,
