id,name,description
10,Academism,"Academic art, or academicism or academism, is a style of painting and sculpture produced under the influence of European academies of art. Specifically, academic art is the art and artists influenced by the standards of the French Académie des Beaux-Arts, which was practiced under the movements of Neoclassicism and Romanticism, and the art that followed these two movements in the attempt to synthesize both of their styles, and which is best reflected by the paintings of William-Adolphe Bouguereau, Thomas Couture, and Hans Makart. In this context it is often called ""academism,"" ""academicism,"" ""art pompier"" (pejoratively), and ""eclecticism,"" and sometimes linked with ""historicism"" and ""syncretism."" Academic art is closely related to Beaux-Arts architecture, which developed in the same place and holds to a similar classicizing ideal.
"
11,Divisionism,"Divisionism, also called chromoluminarism, was the characteristic style in Neo-Impressionist painting defined by the separation of colors into individual dots or patches which interacted optically.[1][2]

By requiring the viewer to combine the colors optically instead of physically mixing pigments, Divisionists believed they were achieving the maximum luminosity scientifically possible. Georges Seurat founded the style around 1884 as chromoluminarism, drawing from his understanding of the scientific theories of Michel Eugène Chevreul, Ogden Rood and Charles Blanc, among others. Divisionism developed along with another style, Pointillism, which is defined specifically by the use of dots of paint and does not necessarily focus on the separation of colors."
12,Renaissance,"Renaissance art (1350 – 1620 AD[1]) is the painting, sculpture, and decorative arts of the period of European history known as the Renaissance, which emerged as a distinct style in Italy in about AD 1400, in parallel with developments which occurred in philosophy, literature, music, science, and technology. Renaissance art took as its foundation the art of Classical antiquity, perceived as the noblest of ancient traditions, but transformed that tradition by absorbing recent developments in the art of Northern Europe and by applying contemporary scientific knowledge. Along with Renaissance humanist philosophy, it spread throughout Europe, affecting both artists and their patrons with the development of new techniques and new artistic sensibilities. For art historians, Renaissance art marks the transition of Europe from the medieval period to the Early Modern age.


Sandro Botticelli, The Birth of Venus, c. 1485, Uffizi, Florence
The body of art, painting, sculpture, architecture, music and literature identified as ""Renaissance art"" was primarily produced during the 14th, 15th, and 16th centuries in Europe under the combined influences of an increased awareness of nature, a revival of classical learning, and a more individualistic view of man. Scholars no longer believe that the Renaissance marked an abrupt break with medieval values, as is suggested by the French word renaissance, literally meaning ""rebirth"". In many parts of Europe, Early Renaissance art was created in parallel with Late Medieval art."
13,Abstract,"Abstract art uses visual language of shape, form, color and line to create a composition which may exist with a degree of independence from visual references in the world.[1]

Western art had been, from the Renaissance up to the middle of the 19th century, underpinned by the logic of perspective and an attempt to reproduce an illusion of visible reality. By the end of the 19th century many artists felt a need to create a new kind of art which would encompass the fundamental changes taking place in technology, science and philosophy. The sources from which individual artists drew their theoretical arguments were diverse, and reflected the social and intellectual preoccupations in all areas of Western culture at that time.[2]

Abstract art, non-figurative art, non-objective art, and non-representational art are all closely related terms. They have similar, but perhaps not identical, meanings.

Abstraction indicates a departure from reality in depiction of imagery in art. This departure from accurate representation can be slight, partial, or complete. Abstraction exists along a continuum. Even art that aims for verisimilitude of the highest degree can be said to be abstract, at least theoretically, since perfect representation is impossible. Artwork which takes liberties, e.g. altering color or form in ways that are conspicuous, can be said to be partially abstract. Total abstraction bears no trace of any reference to anything recognizable. In geometric abstraction, for instance, one is unlikely to find references to naturalistic entities. Figurative art and total abstraction are almost mutually exclusive. But figurative and representational (or realistic) art often contain partial abstraction.

Both geometric abstraction and lyrical abstraction are often totally abstract. Among the very numerous art movements that embody partial abstraction would be for instance fauvism in which color is conspicuously and deliberately altered vis-a-vis reality, and cubism, which alters the forms of the real-life entities depicted."
14,Art Nouveau,"Art Nouveau (/ˌɑːrt nuːˈvoʊ, ˌɑːr/; French: [aʁ nuvo]) is an international style of art, architecture, and applied art, especially the decorative arts. The style is known by different names in different languages: Jugendstil in German, Stile Liberty in Italian, Modernisme in Catalan, and also known as the Modern Style in English. It was popular between 1890 and 1910 during the Belle Époque period,[1] and was a reaction against the academic art, eclecticism and historicism of 19th century architecture and decoration. It was often inspired by natural forms such as the sinuous curves of plants and flowers.[2] Other characteristics of Art Nouveau were a sense of dynamism and movement, often given by asymmetry or whiplash lines, and the use of modern materials, particularly iron, glass, ceramics and later concrete, to create unusual forms and larger open spaces.[3]

One major objective of Art Nouveau was to break down the traditional distinction between fine arts (especially painting and sculpture) and applied arts. It was most widely used in interior design, graphic arts, furniture, glass art, textiles, ceramics, jewellery and metal work. The style responded to leading 19-century theoreticians, such as French architect Eugène-Emmanuel Viollet-le-Duc (1814–1879) and British art critic John Ruskin (1819–1900). In Britain, it was influenced by William Morris and the Arts and Crafts movement. German architects and designers sought a spiritually uplifting Gesamtkunstwerk (""total work of art"") that would unify the architecture, furnishings, and art in the interior in a common style, to uplift and inspire the residents.[3]

The first Art Nouveau houses and interior decoration appeared in Brussels in the 1890s, in the architecture and interior design of houses designed by Paul Hankar, Henry van de Velde, and especially Victor Horta, whose Hôtel Tassel was completed in 1893.[4][5][6] It moved quickly to Paris, where it was adapted by Hector Guimard, who saw Horta's work in Brussels and applied the style for the entrances of the new Paris Métro. It reached its peak at the 1900 Paris International Exposition, which introduced the Art Nouveau work of artists such as Louis Tiffany. It appeared in graphic arts in the posters of Alphonse Mucha, and the glassware of René Lalique and Émile Gallé.

From Belgium and France, Art Nouveau spread to the rest of Europe,[citation needed] taking on different names and characteristics in each country (see Naming section below). It often appeared not only in capitals, but also in rapidly growing cities that wanted to establish artistic identities (Turin and Palermo in Italy; Glasgow in Scotland; Munich and Darmstadt in Germany), as well as in centres of independence movements (Helsinki in Finland, then part of the Russian Empire; Barcelona in Catalonia, Spain).

By 1914, and with the beginning of the First World War, Art Nouveau was largely exhausted. In the 1920s, it was replaced as the dominant architectural and decorative art style by Art Deco and then Modernism.[7] The Art Nouveau style began to receive more positive attention from critics in the late 1960s, with a major exhibition of the work of Hector Guimard at the Museum of Modern Art in 1970."
15,Romanticism,"Romanticism (also known as the Romantic movement or Romantic era) was an artistic, literary, musical and intellectual movement that originated in Europe towards the end of the 18th century; in most areas it was at its peak in the approximate period from 1800 to 1850. Romanticism was characterized by its emphasis on emotion and individualism, clandestine literature, paganism, idealization of nature, suspicion of science and industrialization, as well as glorification of the past with a strong preference for the medieval rather than the classical.[1] It was partly a reaction to the Industrial Revolution,[2] the social and political norms of the Age of Enlightenment, but also the scientific rationalization of nature.[3] It was embodied most strongly in the visual arts, music and literature; it had a major impact on historiography,[4] education,[5] chess, social sciences and the natural sciences.[6] It had a significant and complex effect on politics, with romantic thinkers influencing conservatism, liberalism, radicalism and nationalism.[7]

The movement emphasized intense emotion as an authentic source of aesthetic experience, placing new emphasis on such emotions as fear, horror, terror and awe — especially that experienced in confronting the new aesthetic categories of the sublime and beauty of nature.[8][9] It elevated folk art and ancient custom to something noble, but also spontaneity as a desirable characteristic (as in the musical impromptu). In contrast to the rationalism and classicism of the Enlightenment, Romanticism revived medievalism[10] and elements of art and narrative perceived as authentically medieval in an attempt to escape population growth, early urban sprawl, and industrialism.

Although the movement was rooted in the German Sturm und Drang movement, which preferred intuition and emotion to the rationalism of the Enlightenment,[11] the events and ideologies of the French Revolution were also proximate factors since many of the early Romantics were cultural revolutionaries and sympathetic to the revolution.[12] Romanticism assigned a high value to the achievements of ""heroic"" individualists and artists, whose examples, it maintained, would raise the quality of society. It also promoted the individual imagination as a critical authority allowed of freedom from classical notions of form in art. There was a strong recourse to historical and natural inevitability, a Zeitgeist, in the representation of its ideas. In the second half of the 19th century, Realism was offered as a polar opposite to Romanticism.[13] The decline of Romanticism during this time was associated with multiple processes, including social and political changes."
16,Hudson River School,"The Hudson River School was a mid-19th century American art movement embodied by a group of landscape painters whose aesthetic vision was influenced by Romanticism. The paintings typically depict the Hudson River Valley and the surrounding area, including the Catskill, Adirondack, and White Mountains.

Works by second generation artists expanded to include other locales in New England, the Maritimes, the American West, and South America."
17,Decadent Movement,"The Decadent movement (Fr. décadence, “decay”) was a late-19th-century artistic and literary movement, centered in Western Europe, that followed an aesthetic ideology of excess and artificiality.

The Decadent movement first flourished in France and then spread throughout Europe and to the United States.[1] The movement was characterized by a belief in the superiority of human fantasy[2][3][4] and aesthetic hedonism[5][6][7][8][9][10][11] over logic and the natural world."
18,Munich School,Munich School (Greek: Σχολή του Μονάχου) is the name given to a group of painters who worked in Munich or were trained at the Royal Academy of Fine Arts of Munich (German: Münchner Akademie der Bildenden Künste) between 1850 and 1918. In the second half of the 19th century the Academy became one of the most important institutions in Europe for training artists and attracted students from across Europe and the United States.
19,Mannerism,"Mannerism is a style of art that was created in the Late Renaissance period, from about 1520 until about 1600. The Mannerist style of painting or sculpture often shows figures that are ""elongated"" (made longer) and ""distorted"" (made into strange shapes"").[1] The aim of the Mannerist artist was usually to make art that looked ""elegant"".[2]

The Mannerist style began in Italy, where the artists were influenced by the figures that Michelangelo painted on the ceiling and in the ""Last Judgement"" in the Sistine Chapel.[2] During the Renaissance, artists like Leonardo da Vinci and Raphael had tried very hard to learn from nature, and to paint things in a way that was very realistic. These two famous painters both died around 1520. Many artists then decided that they were going to use the art of painting to ""express themselves"". They were not going to follow the rules of anatomy and perspective in the way that Leonardo and Raphael did.[2] Mannerist paintings are often full of figures that seem to be twisting, writhing or fighting. The faces of the figures often show strong emotions such as sadness, fear, hatred or sexual feelings.

Not all the painters who were working during the Mannerist period painted in the Mannerist style. Many artists continued to work in the style of the High Renaissance.[1] Painters in the Mannerist style were Tintoretto, Jacopo Pontormo, Agnolo Bronzino, Parmigianino and Rosso Fiorentino. Giambologna and Benvenuti Cellini were Mannerist sculptors. Giulio Romano was a Mannerist architect.[3]

Mannerism spread from Italy to France, Germany and Spain. One of the most famous Mannerist painters was El Greco who worked in Spain.[2] Some other artists who worked in the Mannerist style are the French sculptor Jean Goujon, the Dutch painter Abraham Bloemaert and the German painter Bartolomeus Spranger. Possibly the strangest paintings from this time were by Giuseppe Arcimboldo who did pictures in which people's faces seem to be made from fruit, flowers, fire and even fish."
20,Rocky Mountain School,"The Rocky Mountain School of Art is a school of art prominently featuring Thomas Moran and Albert Bierstadt. This school of art places emphasis on the western territories in the United States, specifically places of nature. Like the Hudson River School, this school of art shows appreciation for the geography of the United States. These paintings display nationalism by encouraging and showing appreciation for westward expansion and depicting the resources and beautiful sights present in the newly discovered lands of the west."
21,Bristol School,"The Bristol School (or Bristol School of Artists) is a term applied retrospectively to describe the informal association and works of a group of artists working in Bristol, England, in the early 19th century.[1] It was mainly active in the 1820s, although the origins and influences of the school have been traced over the wider period 1810–40.[2] During the period of his participation in the activities of the Bristol School, Francis Danby developed the atmospheric, poetical style of landscape painting which then initiated his period of great success in London in the 1820s."
22,Gothic,"Gothic art was a style of medieval art that developed in Northern France out of Romanesque art in the 12th century AD, led by the concurrent development of Gothic architecture. It spread to all of Western Europe, and much of Northern, Southern and Central Europe, never quite effacing more classical styles in Italy. In the late 14th century, the sophisticated court style of International Gothic developed, which continued to evolve until the late 15th century. In many areas, especially Germany, Late Gothic art continued well into the 16th century, before being subsumed into Renaissance art. Primary media in the Gothic period included sculpture, panel painting, stained glass, fresco and illuminated manuscripts. The easily recognizable shifts in architecture from Romanesque to Gothic, and Gothic to Renaissance styles, are typically used to define the periods in art in all media, although in many ways figurative art developed at a different pace.

The earliest Gothic art was monumental sculpture, on the walls of Cathedrals and abbeys. Christian art was often typological in nature (see Medieval allegory), showing the stories of the New Testament and the Old Testament side by side. Saints' lives were often depicted. Images of the Virgin Mary changed from the Byzantine iconic form to a more human and affectionate mother, cuddling her infant, swaying from her hip, and showing the refined manners of a well-born aristocratic courtly lady.

Secular art came into its own during this period with the rise of cities, foundation of universities, increase in trade, the establishment of a money-based economy and the creation of a bourgeois class who could afford to patronize the arts and commission works, resulting in a proliferation of paintings and illuminated manuscripts. Increased literacy and a growing body of secular vernacular literature encouraged the representation of secular themes in art. With the growth of cities, trade guilds were formed and artists were often required to be members of a painters' guild. As a result, because of better record keeping, more artists are known to us by name in this period than any previous; some artists were even so bold as to sign their names."
23,Neoclassicism,"Neoclassicism (also spelled Neo-classicism) was a Western cultural movement in the decorative and visual arts, literature, theatre, music, and architecture that drew inspiration from the art and culture of classical antiquity. Neoclassicism was born in Rome largely thanks to the writings of Johann Joachim Winckelmann, at the time of the rediscovery of Pompeii and Herculaneum, but its popularity spread all over Europe as a generation of European art students finished their Grand Tour and returned from Italy to their home countries with newly rediscovered Greco-Roman ideals.[1][2] The main Neoclassical movement coincided with the 18th-century Age of Enlightenment, and continued into the early 19th century, laterally competing with Romanticism. In architecture, the style continued throughout the 19th, 20th and up to the 21st century.

European Neoclassicism in the visual arts began c. 1760 in opposition to the then-dominant Rococo style. Rococo architecture emphasizes grace, ornamentation and asymmetry; Neoclassical architecture is based on the principles of simplicity and symmetry, which were seen as virtues of the arts of Rome and Ancient Greece, and were more immediately drawn from 16th-century Renaissance Classicism. Each ""neo""-classicism selects some models among the range of possible classics that are available to it, and ignores others. The Neoclassical writers and talkers, patrons and collectors, artists and sculptors of 1765–1830 paid homage to an idea of the generation of Phidias, but the sculpture examples they actually embraced were more likely to be Roman copies of Hellenistic sculptures. They ignored both Archaic Greek art and the works of Late Antiquity. The ""Rococo"" art of ancient Palmyra came as a revelation, through engravings in Wood's The Ruins of Palmyra. Even Greece was all-but-unvisited, a rough backwater of the Ottoman Empire, dangerous to explore, so Neoclassicists' appreciation of Greek architecture was mediated through drawings and engravings, which subtly smoothed and regularized, ""corrected"" and ""restored"" the monuments of Greece, not always consciously.

The Empire style, a second phase of Neoclassicism in architecture and the decorative arts, had its cultural centre in Paris in the Napoleonic era. Especially in architecture, but also in other fields, Neoclassicism remained a force long after the early 19th century, with periodic waves of revivalism into the 20th and even the 21st centuries, especially in the United States and Russia."
24,Avant-Garde,"In the arts and in literature, the term avant-garde (advance guard and vanguard) identifies a genre of art, an experimental work of art, and the experimental artist who created the work of art, which usually is aesthetically innovative, whilst initially being ideologically unacceptable to the artistic Establishment of the time.[2] The military metaphor of an advance guard identifies the artists and writers whose innovations in style, form, and subject-matter challenge the artistic and aesthetic validity of the established forms of art and the literary traditions of their time; thus how the artists who created the anti-novel and Surrealism were ahead of their times.[3]

As a stratum of the intelligentsia of a society, avant-garde artists promote progressive and radical politics and advocate for societal reform with and through works of art. In the essay ""The Artist, the Scientist, and the Industrialist"" (1825) Benjamin Olinde Rodrigues’s political usage of vanguard identified the moral obligation of artists to ""serve as [the] avant-garde"" of the people, because ""the power of the arts is, indeed, the most immediate and fastest way"" to realise social, political, and economic reforms.[4]

In the realm of culture, the artistic experiments of the avant-garde push the aesthetic boundaries of societal norms, such as the disruptions of modernism in poetry, fiction, and drama, painting, music, and architecture, the occurred in the late 19th and in the early 20th centuries.[5] In art history the socio-cultural functions of avant-garde art trace from Dada (1915–1920s) through the Situationist International (1957–1972) to the Postmodernism of the American Language poets (1960s–1970s)."
25,Baroque,"The Baroque (UK: /bəˈrɒk/, US: /bəˈroʊk/; French: [baʁɔk]) is a style of architecture, music, dance, painting, sculpture, poetry, and other arts that flourished in Europe from the early 17th century until the 1750s.[1] In the territories of the Spanish and Portuguese empires including the Iberian Peninsula it continued, together with new styles, until the first decade of the 19th century. It followed Renaissance art and Mannerism and preceded the Rococo (in the past often referred to as ""late Baroque"") and Neoclassical styles. It was encouraged by the Catholic Church as a means to counter the simplicity and austerity of Protestant architecture, art, and music, though Lutheran Baroque art developed in parts of Europe as well.[2]

The Baroque style used contrast, movement, exuberant detail, deep colour, grandeur, and surprise to achieve a sense of awe. The style began at the start of the 17th century in Rome, then spread rapidly to France, northern Italy, Spain, and Portugal, then to Austria, southern Germany, and Russia. By the 1730s, it had evolved into an even more flamboyant style, called rocaille or Rococo, which appeared in France and Central Europe until the mid to late 18th century.

In the decorative arts, the style employs plentiful and intricate ornamentation. The departure from Renaissance classicism has its own ways in each country. But a general feature is that everywhere the starting point is the ornamental elements introduced by the Renaissance. The classical repertoire is crowded, dense, overlapping, loaded, in order to provoke shock effects. New motifs introduced by Baroque are: the cartouche, trophies and weapons, baskets of fruit or flowers, and others, made in marquetry, stucco, or carved."
26,Venetian School,"Venetian painting was a major force in Italian Renaissance painting and beyond. Beginning with the work of Giovanni Bellini (c. 1430–1516) and his brother Gentile Bellini (c. 1429–1507) and their workshops, the major artists of the Venetian school included Giorgione (c. 1477–1510), Titian (c. 1489–1576), Tintoretto (1518–1594), Paolo Veronese (1528–1588) and Jacopo Bassano (1510–1592) and his sons. Considered to give primacy to colour over line,[1] the tradition of the Venetian school contrasted with the Mannerism prevalent in the rest of Italy. The Venetian style exerted great influence upon the subsequent development of Western painting.[2]


Canaletto, The Entrance to the Grand Canal, c. 1730, a typical veduta.
By chance, the main phases of Venetian painting fit rather neatly into the centuries. The glories of the 16th century were followed by a great fall-off in the 17th, but an unexpected revival in the 18th,[3] when Venetian painters enjoyed great success around Europe, as Baroque painting turned to Rococo. This had ended completely by the extinction of the Republic of Venice in 1797 and since then, though much painted by others, Venice has not had a continuing style or tradition of its own.[4]

Though a long decline in the political and economic power of the Republic began before 1500, Venice at that date remained ""the richest, most powerful, and most populous Italian city""[5] and controlled significant territories on the mainland, known as the terraferma, which included several small cities who contributed artists to the Venetian school, in particular Padua, Brescia and Verona. The Republic's territories also included Istria, Dalmatia and the islands now off the Croatian coast, who also contributed. Indeed, ""the major Venetian painters of the sixteenth century were rarely natives of the city"" itself,[6] and some mostly worked in the Republic's other territories, or further afield.[7]


Giovanni Bellini, San Zaccaria Altarpiece, 1505, a late work, San Zaccaria, Venice
The rest of Italy tended to ignore or underestimate Venetian painting; Giorgio Vasari's neglect of the school in the first edition of his Lives of the Most Excellent Painters, Sculptors, and Architects in 1550 was so conspicuous that he realized he needed to visit Venice for extra material in his second edition of 1568.[8] In contrast, foreigners, for whom Venice was often the first major Italian city visited, always had a great appreciation for it and, after Venice itself, the best collections are now in the large European museums rather than other Italian cities. At the top, princely, level, Venetian artists tended to be the most sought-after for commissions abroad, from Titian onwards, and in the 18th century most of the best painters spent significant periods abroad, generally with great success."
27,Realism,"Realism in the arts is generally the attempt to represent subject matter truthfully, without artificiality and avoiding speculative and supernatural elements. The term is often used interchangeably with naturalism, although these terms are not synonymous. Naturalism, as an idea relating to visual representation in Western art, seeks to depict objects with the least possible amount of distortion and is tied to the development of linear perspective and illusionism in Renaissance Europe.[1] Realism, while predicated upon naturalistic representation and a departure from the idealization of earlier academic art, often refers to a specific art historical movement that originated in France in the aftermath of the French Revolution of 1848. With artists like Gustave Courbet capitalizing on the mundane, ugly or sordid, realism was motivated by the renewed interest in the common man and the rise of leftist politics.[2] The Realist painters rejected Romanticism, which had come to dominate French literature and art, with roots in the late 18th century.

In 19th-century Europe, ""Naturalism"" or the ""Naturalist school"" was somewhat artificially erected as a term representing a breakaway sub-movement of realism, that attempted (not wholly successfully) to distinguish itself from its parent by its avoidance of politics and social issues, and liked to proclaim a quasi-scientific basis, playing on the sense of ""naturalist"" as a student of natural history, as the biological sciences were then generally known.

There have been various movements invoking realism in the other arts, such as the opera style of verismo, literary realism, theatrical realism, and Italian neorealist cinema."
28,Delft School,"The Delft School is a category of mid-17th-century Dutch Golden Age painting named after its main base, Delft. It is best known for genre painting: images of domestic life, views of households, church interiors, courtyards, squares and the streets of that city. Carel Fabritius and Nicolaes Maes are seen as the originators of these localised specialties in the 1640s that were continued in the 1650s by Pieter de Hooch and Johannes Vermeer. Vermeer is the most famous of these painters today. The architectural interiors of Gerard Houckgeest, Emanuel de Witte and Hendrick Cornelisz. van Vliet are also notable contributions. Besides the genres most closely associated with Delft painters, artists in the city continued to produce still life and history paintings, portraits for patrons and the court, and decorative pieces of art that reflect more general tendencies in Dutch art of the period."
29,Norwich School,"The Norwich School of painters was the first provincial art movement established in Britain, active in the early 19th century. Artists of the school were inspired by the natural environment of the Norfolk landscape and owed some influence to the work of landscape painters of the Dutch Golden Age such as Hobbema and Ruisdael."
