source_artwork,url
1327,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Clydesdale Stallion, 1820 in the style of John Frederick Herring Snr.png"
918,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Coast Line in Jamaica, West Indies in the style of Frederic Edwin Church.png"
3272,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Coign Of Vantage 1895 in the style of Sir Lawrence Alma-Tadema.png
2186,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Common Waterbuck in the style of Wilhelm Kuhnert.png
1329,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Corner of a Farmyard with a Boy Sitting on a Grey Horse and a Goat eating nearby in the style of John Frederick Herring Snr.png
71,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Corner of the Studio 1861 in the style of Claude Oscar Monet.png
602,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Corner of the Woods at Sablons, 1883 in the style of Alfred Sisley.png"
526,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cottage in a Cornfield, 1817 in the style of John Constable.png"
544,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Country road with trees and figures in the style of John Constable.png
79,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Couple 1999 in the style of Fernando Botero.png
1931,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Couple In The Forest in the style of August Macke.png
84,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Couple in the style of Fernando Botero.png
871,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cow Grazing beneath a Birch Tree in the style of Jean-Baptiste-Camille Corot.png
1271,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cracker cowboy in the style of Frederic Remington.png
3111,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Cree Indian in the style of Platt Powell Ryder.png
1208,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Crowned Merman in the style of Arthur Rackham.png
3284,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Declaration in the style of Sir Lawrence Alma-Tadema.png
882,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Deer in a Mountain Landscape in the style of Thomas Moran.png
2,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Digger in the style of Vincent Van Gogh.png
1331,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Doe Rabbit and her two young, 1852 in the style of John Frederick Herring Snr.png"
2064,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Dusty Road 1868 in the style of John Linnell.png
2544,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Fair Reflection in the style of John William Godward.png
1200,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Fairy Song, from A Midsummer Nights Dream, 1908 in the style of Arthur Rackham.png"
80,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Family I in the style of Fernando Botero.png
91,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Family II in the style of Fernando Botero.png
432,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Farm at Montfoucault- Effect of Snow, 1876 in the style of Camille Pissarro.png"
53,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Farmyard In Normandy in the style of Claude Oscar Monet.png
2091,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Faun Feeding a Squirrel in the style of Marianne Preindelsberger Stokes.png
3269,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Favorite Custom, 1909 in the style of Sir Lawrence Alma-Tadema.png"
611,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A February Morning at Moret-sur-Loing in the style of Alfred Sisley.png
204,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Field of Poppies in the style of Gustav Klimt.png
225,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A First Rate Taking In Stores in the style of Joseph Mallord William Turner.png
342,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Fish Story in the style of Winslow Homer.png
2453,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Flock Of Sheep In A Snowstorm in the style of Joseph Farquharson.png
2527,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Flower Seller in the style of John William Godward.png
410,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Forest at Dawn with Deer Hunt in the style of Peter Paul Rubens.png
3703,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Full-Length Portrait Of H.R.H Princess Marie-Clementine Of Orleans in the style of Franz Xavier Winterhalter.png
3563,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Game Still Life With A Hung Hare, A Pheasant, A Horn, A Musket Barrel And Other Objects In A Classical Niche in the style of Melchior de Hondecoeter.png"
1407,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Game of Billiards, c.1720-26 in the style of Jean-Baptiste-Simeon Chardin.png"
1968,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Garden Scene with a boy the artists son George Dunlop Leslie in the style of Charles Robert Leslie.png
189,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Garden in Corfu in the style of John Singer Sargent.png
329,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Garden in Nassau in the style of Winslow Homer.png
2344,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Gathering of Friends 1640-42 in the style of Eustache Le Sueur.png
2851,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Girl Knitting Socks in the style of Albert Edelfelt.png
851,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Girl Reading in the style of Jean-Baptiste-Camille Corot.png
151,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Girl at a Window in the style of Rembrandt Van Rijn.png
335,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Girl in a Punt in the style of Winslow Homer.png
2027,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Glasgow Boy in the style of Joan Eardley.png
827,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Glass Of Roses On Gold Cloth in the style of Martin Johnson Heade.png
346,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Good One in the style of Winslow Homer.png
332,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Good Shot, Adirondacks in the style of Winslow Homer.png"
2836,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Greek Festival in the style of Thomas Ralph Spence.png
3271,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Greek Woman in the style of Sir Lawrence Alma-Tadema.png
3,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Group of Cottages in the style of Vincent Van Gogh.png
3591,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Gypsy Camp in the style of William (Turner of Oxford) Turner.png
3276,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Harvest Festival in the style of Sir Lawrence Alma-Tadema.png
3652,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Hatchment comprising a Coat of Arms with the motto IN COELO QUIES supported by three Seraphim in the style of English Provincial School.png
2021,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Hell scene with a fish-monster with a wheel in its mounth in the style of (after) Hieronymus Bosch.png
2202,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Herd Of Elephants By Moonlight in the style of Wilhelm Kuhnert.png
1711,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Horse Affrighted by a Lion, engraved by the artist in the style of George Stubbs.png"
1928,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A House in the style of August Macke.png
2368,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Japanese Woman in the style of Robert Frederick Blum.png
3665,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A King Charles Spaniel 2 in the style of English Provincial School.png
728,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Kiss For Baby Anne in the style of Mary Cassatt.png
1993,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lady Drinking and a Gentleman c. 1658 in the style of Jan Vermeer Van Delft.png
2315,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lady Reading a Newspaper in the style of Carl Larsson.png
1998,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lady at the Virginals with a Gentleman 1662-65 in the style of Jan Vermeer Van Delft.png
187,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Landscape Study at San Vigilio, Lake of Garda in the style of John Singer Sargent.png"
878,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Late Afternoon In Summer in the style of Thomas Moran.png
237,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lime Kiln at Coalbrookdale, c.1797 in the style of Joseph Mallord William Turner.png"
2163,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Limier Briquet Hound in the style of Rosa Bonheur.png
1701,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lion Attacking A Horse, c.1765 in the style of George Stubbs.png"
1700,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lion Attacking a Horse, c.1762 in the style of George Stubbs.png"
2190,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lioness and Her Cubs in the style of Wilhelm Kuhnert.png
2272,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Little Shepherdess 1891 in the style of William-Adolphe Bouguereau.png
1463,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lunar night on Capri in the style of Ivan Konstantinovich Aivazovsky.png
307,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Lunatic behind Bars in the style of Francisco De Goya y Lucientes.png
360,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Mad Woman 1822 in the style of Eugene Delacroix.png
825,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Magnolia On Red Velvet in the style of Martin Johnson Heade.png
2720,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Man-o-War in a Swell and a Sailing Boat in the style of Peter Monamy.png
181,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Marble fountain at Aranjuez, Spain in the style of John Singer Sargent.png"
3373,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Market Scene In A Wintry Dutch Town in the style of Charles Henri Leickert.png
24,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Marsh in the style of Vincent Van Gogh.png
499,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Matador in the style of Edouard Manet.png
61,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Meadow in the style of Claude Oscar Monet.png
1806,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Midnight Modern Conversation from The Works of William Hogarth in the style of William Hogarth.png
2203,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Midsummer Nights Dream in the style of Sir Joseph Noel Paton.png
1656,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Milkmaid, c.1853 in the style of Jean-Francois Millet.png"
877,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Miracle Of Nature in the style of Thomas Moran.png
1273,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Misdeal in the style of Frederic Remington.png
128,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Modern Olympia (Pasha in the style of Paul Cezanne.png
133,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Modern Olympia in the style of Paul Cezanne.png
3673,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Monk Helping a Pilgrim in the style of Jean-Victor Schnetz.png
1559,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Monkey Encampment in the style of David The Younger Teniers.png
1912,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Moonlight Effect in the style of Paul Sandby.png
1467,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Moonlit View of the Bosphorus in the style of Ivan Konstantinovich Aivazovsky.png
1528,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Morning Snow in the style of George Wesley Bellows.png
176,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Morning Walk in the style of John Singer Sargent.png
192,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Mosque, Cairo, 1891 in the style of John Singer Sargent.png"
1268,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Mountain Lion Hunting in the style of Frederic Remington.png
2480,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Mulatto Boy in the style of William Henry Hunt.png
1824,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Musical Party the Mathias Family in the style of William Hogarth.png
2715,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Naval Engagement in the style of Peter Monamy.png
1509,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Noble Lady of Venice in the style of Lord Frederick Leighton.png
619,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Normandy Farm in the style of Alfred Sisley.png
3224,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Nymph drawing her Bow on a Youth in the style of Angelica Kauffmann.png
1272,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Pack Train in the style of Frederic Remington.png
4,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Pair of Shoes in the style of Vincent Van Gogh.png
2504,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Palace Garden With Elegant Couples Dancing in the style of Louis de Caullery.png
3564,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Park with Swan and Other Birds in the style of Melchior de Hondecoeter.png
976,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Passing Shower in the style of George Inness.png
876,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Pastoral Landscape in the style of Thomas Moran.png
606,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Path in Louveciennes in the style of Alfred Sisley.png
431,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Path in the Woods, Pontoise in the style of Camille Pissarro.png"
12,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Path through a Ravine in the style of Vincent Van Gogh.png
3547,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Peacock a Hawk and Various Fowl and Ducks in a Park in the style of Melchior de Hondecoeter.png
3550,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Peacock on a Decorative Urn in the style of Melchior de Hondecoeter.png
1571,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Peasant Wedding, 1648 in the style of David The Younger Teniers.png"
1434,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Philosopher in the style of Jean-Honore Fragonard.png
319,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Pilgrimage to San Isidro (detail 1) in the style of Francisco De Goya y Lucientes.png
3171,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Playful Kitten in the style of Henriette Ronner-Knip.png
2531,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Pompeian Garden in the style of John William Godward.png
2563,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Portrait Of A Bearded Man Reading in the style of (after) Harmenszoon Van Rijn Rembrandt.png
2033,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Portrait Of A Noblewoman, Three-Quarter Length, Wearing A Red Dress With Lace Sleeves And Collar in the style of (after) Pietro Antonio Rotari.png"
2559,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Portrait Of An Old Man, Bust Length, Wearing A Fur-Lined Coat And A Black Kolpak in the style of (after) Harmenszoon Van Rijn Rembrandt.png"
2181,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Preying Lion in the style of Wilhelm Kuhnert.png
2540,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Priestess in the style of John William Godward.png
3174,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Proud Mother in the style of Henriette Ronner-Knip.png
2906,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Race with Mermaids and Tritons in the style of Collier Twentyman Smithers.png
2994,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Rainy Day In Paris in the style of Ulpiano Checa y Sanz.png
344,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Rainy Day in Camp (or Camp near Yorktown) in the style of Winslow Homer.png
2995,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Rainy Day in the style of Ulpiano Checa y Sanz.png
1812,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Rakes Progress III The Rake at the Rose Tavern in the style of William Hogarth.png
3283,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Reading from Homer in the style of Sir Lawrence Alma-Tadema.png
500,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Regatta on the Grand Canal c. 1732 in the style of Canaletto.png
1258,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Regimental Scout in the style of Frederic Remington.png
666,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A River Estuary in the style of Albert Bierstadt.png
3381,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A River Landscape in Summer with Peasants Conversing by Old Houses along a Road, Moored Shipping Across, a Town in the Distance in the style of Charles Henri Leickert.png"
2060,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A River Landscape, With Two Boys Fishing And A Girl Fetching Water in the style of John Linnell.png"
32,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Road In Louveciennes in the style of Pierre Auguste Renoir.png
615,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Road in Louveciennes, 1883 in the style of Alfred Sisley.png"
875,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Rocky Mountain Peak Idaho Territory in the style of Thomas Moran.png
3293,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Roman Scribe Writing Dispatches in the style of Sir Lawrence Alma-Tadema.png
1262,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Running Bucker in the style of Frederic Remington.png
2670,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Scene from the Gentle Shepherd, c.1823 in the style of Sir David Wilkie.png"
1563,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Scene of Sorcery, 1633 in the style of David The Younger Teniers.png"
2876,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Scottish baronial mansion in the style of Joseph Nash.png
2717,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Sea Battle off the Coast of Louis Berg Canada in the style of Peter Monamy.png
239,"https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Sea Piece - A Rough Sea with a Fishing Boat, 1820-30 in the style of Joseph Mallord William Turner.png"
2286,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Sheet Of Studies in the style of (after) William Etty.png
1568,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Shepherd Boy talking to a milkmaid in a cowshed in the style of David The Younger Teniers.png
1674,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Shepherdess And Her Flock in the style of Jean-Francois Millet.png
3117,https://kuleuven-datathon-2023.s3.eu-central-1.amazonaws.com/generated/A painting of A Sikh Sentry Fort Johnston Nyasaland in the style of Harry Hamilton Johnston.png
