id,name,description
10,Wood Engravings,"Wood engraving is a printmaking technique, in which an artist works an image or matrix of images into a block of wood. Functionally a variety of woodcut, it uses relief printing, where the artist applies ink to the face of the block and prints using relatively low pressure. By contrast, ordinary engraving, like etching, uses a metal plate for the matrix, and is printed by the intaglio method, where the ink fills the valleys, the removed areas. As a result, wood engravings deteriorate less quickly than copper-plate engravings, and have a distinctive white-on-black character.

Thomas Bewick developed the wood engraving technique in Great Britain at the end of the 18th century.[1] His work differed from earlier woodcuts in two key ways. First, rather than using woodcarving tools such as knives, Bewick used an engraver's burin (graver). With this, he could create thin delicate lines, often creating large dark areas in the composition. Second, wood engraving traditionally uses the wood's end grain—while the older technique used the softer side grain. The resulting increased hardness and durability facilitated more detailed images.

Wood-engraved blocks could be used on conventional printing presses, which were going through rapid mechanical improvements during the first quarter of the 19th century. The blocks were made the same height as, and composited alongside, movable type in page layouts—so printers could produce thousands of copies of illustrated pages with almost no deterioration. The combination of this new wood engraving method and mechanized printing drove a rapid expansion of illustrations in the 19th century. Further, advances in stereotype let wood-engravings be reproduced onto metal, where they could be mass-produced for sale to printers.

By the mid-19th century, many wood engravings rivaled copperplate engravings.[2] Wood engraving was used to great effect by 19th-century artists such as Edward Calvert, and its heyday lasted until the early and mid-20th century when remarkable achievements were made by Eric Gill, Eric Ravilious, Tirzah Garwood and others. Though less used now, the technique is still prized in the early 21st century as a high-quality specialist technique of book illustration, and is promoted, for example, by the Society of Wood Engravers, who hold an annual exhibition in London and other British venues."
11,Lithography,"Lithography (from Ancient Greek λίθος, lithos 'stone', and γράφειν, graphein 'to write')[1] is a planographic method of printing originally based on the immiscibility of oil and water.[2] The printing is from a stone (lithographic limestone) or a metal plate with a smooth surface. It was invented in 1796 by the German author and actor Alois Senefelder and was initially used mostly for musical scores and maps.[3][4] Lithography can be used to print text or images onto paper or other suitable material.[5] A lithograph is something printed by lithography, but this term is only used for fine art prints and some other, mostly older, types of printed matter, not for those made by modern commercial lithography.

Originally, the image to be printed was drawn with a greasy substance, such as oil, fat, or wax onto the surface of a smooth and flat limestone plate. The stone was then treated with a mixture of weak acid and gum arabic (""etch"") that made the parts of the stone's surface that were not protected by the grease more hydrophilic (water attracting). For printing, the stone was first moistened. The water only adhered to the gum-treated parts, making them even more oil-repellant. An oil-based ink was then applied, and would stick only to the original drawing. The ink would finally be transferred to a blank paper sheet, producing a printed page. This traditional technique is still used for fine art printmaking.[6]

In modern commercial lithography, the image is transferred or created as a patterned polymer coating applied to a flexible plastic or metal plate.[7] The printing plates, whether stone or metal, can be created by a photographic process, a method that may be referred to as ""photolithography"" (although the term usually refers to a vaguely similar microelectronics manufacturing process). [8][9] Offset printing or ""offset lithography"" is an elaboration of lithography in which the ink is transferred from the plate to the paper by means of a rubber plate or cylinder, rather than by direct contact of the two. This technique keeps the paper dry and allows high speed fully automated operation. It has mostly replaced traditional lithography for medium- and high-volume printing: since the 1960s, most books and magazines, especially when illustrated in colour, are printed with offset lithography from photographically created metal plates.

As a printing technology, lithography is different from intaglio printing (gravure), wherein a plate is engraved, etched, or stippled to score cavities to contain the printing ink; and woodblock printing or letterpress printing, wherein ink is applied to the raised surfaces of letters or images."
12,Illustrations,"An illustration is a decoration, interpretation or visual explanation of a text, concept or process,[1] designed for integration in print and digital published media, such as posters, flyers, magazines, books, teaching materials, animations, video games and films. An illustration is typically created by an illustrator. Digital illustrations are often used to make websites and apps more user-friendly, such as the use of emojis to accompany digital type.[2] llustration also means providing an example; either in writing or in picture form.

The origin of the word ""illustration"" is late Middle English (in the sense ‘illumination; spiritual or intellectual enlightenment’): via Old French from Latin illustratio(n-), from the verb illustrare."
13,Ceramics,"A ceramic is any of the various hard, brittle, heat-resistant and corrosion-resistant materials made by shaping and then firing an inorganic, nonmetallic material, such as clay, at a high temperature.[1][2] Common examples are earthenware, porcelain, and brick.

The earliest ceramics made by humans were pottery objects (pots, vessels or vases) or figurines made from clay, either by itself or mixed with other materials like silica, hardened and sintered in fire. Later, ceramics were glazed and fired to create smooth, colored surfaces, decreasing porosity through the use of glassy, amorphous ceramic coatings on top of the crystalline ceramic substrates.[3] Ceramics now include domestic, industrial and building products, as well as a wide range of materials developed for use in advanced ceramic engineering, such as in semiconductors.

The word ""ceramic"" comes from the Greek word κεραμικός (keramikos), ""of pottery"" or ""for pottery"",[4] from κέραμος (keramos), ""potter's clay, tile, pottery"".[5] The earliest known mention of the root ""ceram-"" is the Mycenaean Greek ke-ra-me-we, workers of ceramic written in Linear B syllabic script.[6] The word ceramic can be used as an adjective to describe a material, product or process, or it may be used as a noun, either singular, or more commonly, as the plural noun ""ceramics""."
14,Engraving,"Engraving is the practice of incising a design onto a hard, usually flat surface by cutting grooves into it with a burin. The result may be a decorated object in itself, as when silver, gold, steel, or glass are engraved, or may provide an intaglio printing plate, of copper or another metal, for printing images on paper as prints or illustrations; these images are also called ""engravings"". Engraving is one of the oldest and most important techniques in printmaking.

Wood engraving is a form of relief printing and is not covered in this article, same with rock engravings like petroglyphs.

Engraving was a historically important method of producing images on paper in artistic printmaking, in mapmaking, and also for commercial reproductions and illustrations for books and magazines. It has long been replaced by various photographic processes in its commercial applications and, partly because of the difficulty of learning the technique, is much less common in printmaking, where it has been largely replaced by etching and other techniques.

""Engraving"" is also loosely but incorrectly used for any old black and white print; it requires a degree of expertise to distinguish engravings from prints using other techniques such as etching in particular, but also mezzotint and other techniques. Many old master prints also combine techniques on the same plate, further confusing matters. Line engraving and steel engraving cover use for reproductive prints, illustrations in books and magazines, and similar uses, mostly in the 19th century, and often not actually using engraving. Traditional engraving, by burin or with the use of machines, continues to be practised by goldsmiths, glass engravers, gunsmiths and others, while modern industrial techniques such as photoengraving and laser engraving have many important applications. Engraved gems were an important art in the ancient world, revived at the Renaissance, although the term traditionally covers relief as well as intaglio carvings, and is essentially a branch of sculpture rather than engraving, as drills were the usual tools."
15,Etching,"Etching is traditionally the process of using strong acid or mordant to cut into the unprotected parts of a metal surface to create a design in intaglio (incised) in the metal.[1] In modern manufacturing, other chemicals may be used on other types of material. As a method of printmaking, it is, along with engraving, the most important technique for old master prints, and remains in wide use today. In a number of modern variants such as microfabrication etching and photochemical milling it is a crucial technique in much modern technology, including circuit boards. In traditional pure etching, a metal plate (usually of copper, zinc or steel) is covered with a waxy ground which is resistant to acid.[2] The artist then scratches off the ground with a pointed etching needle[3] where the artist wants a line to appear in the finished piece, exposing the bare metal. The échoppe, a tool with a slanted oval section, is also used for ""swelling"" lines.[4] The plate is then dipped in a bath of acid, known as the mordant (French for ""biting"") or etchant, or has acid washed over it.[5] The acid ""bites"" into the metal (it undergoes a redox reaction) to a depth depending on time and acid strength, leaving behind the drawing (as carved into the wax) on the metal plate. The remaining ground is then cleaned off the plate. For first and renewed uses the plate is inked in any chosen non-corrosive ink all over and the surface ink drained and wiped clean, leaving ink in the etched forms.

The plate is then put through a high-pressure printing press together with a sheet of paper (often moistened to soften it).[6] The paper picks up the ink from the etched lines, making a print. The process can be repeated many times; typically several hundred impressions (copies) could be printed before the plate shows much sign of wear. The work on the plate can be added to or repaired by re-waxing and further etching; such an etching (plate) may have been used in more than one state.[7]

Etching has often been combined with other intaglio techniques such as engraving (e.g., Rembrandt) or aquatint (e.g., Francisco Goya)."
16,Fresco,"Fresco (plural frescos or frescoes) is a technique of mural painting executed upon freshly laid (""wet"") lime plaster. Water is used as the vehicle for the dry-powder pigment to merge with the plaster, and with the setting of the plaster, the painting becomes an integral part of the wall. The word fresco (Italian: affresco) is derived from the Italian adjective fresco meaning ""fresh"", and may thus be contrasted with fresco-secco or secco mural painting techniques, which are applied to dried plaster, to supplement painting in fresco. The fresco technique has been employed since antiquity and is closely associated with Italian Renaissance painting.[1][2] The word fresco is commonly and inaccurately used in English to refer to any wall painting regardless of the plaster technology or binding medium. This, in part, contributes to a misconception that the most geographically and temporally common wall painting technology was the painting into wet lime plaster. Even in apparently Buon fresco technology, the use of supplementary organic materials was widespread, if underrecognized."
17,Literature,"Literature is any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form, especially prose fiction, drama, and poetry.[1] In recent centuries, the definition has expanded to include oral literature, much of which has been transcribed.[2] Literature is a method of recording, preserving, and transmitting knowledge and entertainment, and can also have a social, psychological, spiritual, or political role.

Literature, as an art form, can also include works in various non-fiction genres, such as biography, diaries, memoir, letters, and essays. Within its broad definition, literature includes non-fictional books, articles or other printed information on a particular subject.[3][4]

Etymologically, the term derives from Latin literatura/litteratura ""learning, a writing, grammar,"" originally ""writing formed with letters,"" from litera/littera ""letter"".[5] In spite of this, the term has also been applied to spoken or sung texts.[6][7] Developments in print technology have allowed an ever-growing distribution and proliferation of written works, which now includes electronic literature.

Literature is classified according to whether it is poetry, prose or drama, and such works are often further categorized according to historical period, adherence to certain aesthetic features, or genre."
18,Journalism,"Journalism is the production and distribution of reports on the interaction of events, facts, ideas, and people that are the ""news of the day"" and that informs society to at least some degree of accuracy. The word, a noun, applies to the occupation (professional or not), the methods of gathering information, and the organizing literary styles.

The appropriate role for journalism varies from countries to country, as do perceptions of the profession, and the resulting status. In some nations, the news media are controlled by government and are not independent.[1] In others, news media are independent of the government and operate as private industry. In addition, countries may have differing implementations of laws handling the freedom of speech, freedom of the press as well as slander and libel cases.

The proliferation of the Internet and smartphones has brought significant changes to the media landscape since the turn of the 21st century. This has created a shift in the consumption of print media channels, as people increasingly consume news through e-readers, smartphones, and other personal electronic devices, as opposed to the more traditional formats of newspapers, magazines, or television news channels. News organizations are challenged to fully monetize their digital wing, as well as improvise on the context in which they publish in print. Newspapers have seen print revenues sink at a faster pace than the rate of growth for digital revenues."
19,Writing,"Writing is a neuropsychological activity involving cognitive and physical processes and the use of writing systems to structure and translate human thoughts into persistent representations of human language. A system of writing relies on many of the same semantic structures as the language it represents, such as lexicon and syntax, with the added dependency of a system of symbols representing that language's phonology and morphology. Nevertheless, written language may take on characteristics distinctive from any available in spoken language.[1]

The outcome of this activity, also called ""writing,"" and sometimes a ""text,"" is a series of physically inscribed, mechanically transferred, or digitally represented linguistic symbols. The interpreter or activator of a text is called a ""reader"".[2]

Writing systems do not themselves constitute languages (with the debatable exception of computer languages); they are a means of rendering language into a form that can be reconstructed by other humans separated by time and/or space.[3][4] While not all languages use a writing system, those that do can complement and extend capacities of spoken language by creating durable forms of language that can be transmitted across space (e.g. written correspondence) and stored over time (e.g. libraries or other public records).[5] Writing can also have knowledge-transforming effects, since it allows humans to externalize their thinking in forms that are easier to reflect on, elaborate, reconsider, and revise."
20,Satire,"Satire is a genre of the visual, literary, and performing arts, usually in the form of fiction and less frequently non-fiction, in which vices, follies, abuses, and shortcomings are held up to ridicule, often with the intent of shaming or exposing the perceived flaws of individuals, corporations, government, or society itself into improvement.[1] Although satire is usually meant to be humorous, its greater purpose is often constructive social criticism, using wit to draw attention to both particular and wider issues in society.

A feature of satire is strong irony or sarcasm —""in satire, irony is militant"", according to literary critic Northrop Frye—[2] but parody, burlesque, exaggeration,[3] juxtaposition, comparison, analogy, and double entendre are all frequently used in satirical speech and writing. This ""militant"" irony or sarcasm often professes to approve of (or at least accept as natural) the very things the satirist wishes to question.

Satire is found in many artistic forms of expression, including internet memes, literature, plays, commentary, music, film and television shows, and media such as lyrics.
"
21,Cartoons,"A cartoon is a type of visual art that is typically drawn, frequently animated, in an unrealistic or semi-realistic style. The specific meaning has evolved over time, but the modern usage usually refers to either: an image or series of images intended for satire, caricature, or humor; or a motion picture that relies on a sequence of illustrations for its animation. Someone who creates cartoons in the first sense is called a cartoonist,[1] and in the second sense they are usually called an animator.

The concept originated in the Middle Ages, and first described a preparatory drawing for a piece of art, such as a painting, fresco, tapestry, or stained glass window. In the 19th century, beginning in Punch magazine in 1843, cartoon came to refer – ironically at first – to humorous artworks in magazines and newspapers. Then it also was used for political cartoons and comic strips. When the medium developed, in the early 20th century, it began to refer to animated films which resembled print cartoons."
22,Decorations,"The decorative arts are arts or crafts whose object is the design and manufacture of objects that are both beautiful and functional. It includes most of the arts making objects for the interiors of buildings, and interior design, but not usually architecture. Ceramic art, metalwork, furniture, jewellery, fashion, various forms of the textile arts and glassware are major groupings.

Applied arts largely overlaps with decorative arts, and the modern making of applied art is usually called design. The decorative arts are often categorized in distinction to the ""fine arts"", namely painting, drawing, photography, and large-scale sculpture, which generally produce objects solely for their aesthetic quality and capacity to stimulate the intellect."
23,Animal Painting,"An animal painter is an artist who specialises in (or is known for their skill in) the portrayal of animals.

The OED dates the first express use of the term ""animal painter"" to the mid-18th century: by English physician, naturalist and writer John Berkenhout (1726-1791).[2] From the early 20th century, wildlife artist became a more usual term for contemporary animal painters."
24,Manga,"Manga (Japanese: 漫画 [maŋga])[a] are comics or graphic novels originating from Japan. Most manga conform to a style developed in Japan in the late 19th century,[1] and the form has a long history in earlier Japanese art.[2] The term manga is used in Japan to refer to both comics and cartooning. Outside of Japan, the word is typically used to refer to comics originally published in the country.[3]

In Japan, people of all ages and walks of life read manga. The medium includes works in a broad range of genres: action, adventure, business and commerce, comedy, detective, drama, historical, horror, mystery, romance, science fiction and fantasy, erotica (hentai and ecchi), sports and games, and suspense, among others.[4][5] Many manga are translated into other languages.[6]

Since the 1950s, manga has become an increasingly major part of the Japanese publishing industry.[7] By 1995, the manga market in Japan was valued at ¥586.4 billion ($6–7 billion),[8] with annual sales of 1.9 billion manga books and manga magazines in Japan (equivalent to 15 issues per person).[9] In 2020 Japan's manga market value hit a new record of ¥612.6 billion due to the fast growth of digital manga sales as well as increase of print sales.[10][11] Manga have also gained a significant worldwide audience.[12][13][14] Beginning with the late 2010s manga started massively outselling American comics.[15] In 2020 the North American manga market was valued at almost $250 million.[16] According to NPD BookScan manga made up 76% of overall comics and graphic novel sales in the US in 2021.[17] The fast growth of the North American manga market has been attributed to manga's wide availability on digital reading apps, book retailer chains such as Barnes & Noble and online retailers such as Amazon as well as the increased streaming of anime.[18][19] According to Jean-Marie Bouissou, manga represented 38% of the French comics market in 2005.[20] This is equivalent to approximately 3 times that of the United States and was valued at about €460 million ($640 million).[21] In Europe and the Middle East, the market was valued at $250 million in 2012.[22]

Manga stories are typically printed in black-and-white—due to time constraints, artistic reasons (as coloring could lessen the impact of the artwork)[23] and to keep printing costs low[24]—although some full-color manga exist (e.g., Colorful). In Japan, manga are usually serialized in large manga magazines, often containing many stories, each presented in a single episode to be continued in the next issue. Collected chapters are usually republished in tankōbon volumes, frequently but not exclusively paperback books.[25] A manga artist (mangaka in Japanese) typically works with a few assistants in a small studio and is associated with a creative editor from a commercial publishing company.[26] If a manga series is popular enough, it may be animated after or during its run.[27] Sometimes, manga are based on previous live-action or animated films.[28]

Manga-influenced comics, among original works, exist in other parts of the world, particularly in those places that speak Chinese (""manhua""), Korean (""manhwa""), English (""OEL manga""), and French (""manfra""), as well as in the nation of Algeria (""DZ-manga"")."
