Artist,communityId
Federico de Madrazo y Kuntz,133
Salvador Dali,134
Ulpiano Checa y Sanz,135
Alfred Morgan,136
William Holbrook Beard,137
Walter Withers,138
Tamara de Lempicka,139
Sir Joshua Reynolds,140
Girolamo Francesco Maria Mazzola (Parmigianino),141
Victor Honore Janssens,142
Platt Powell Ryder,143
Heinz Pinggera,144
Harry Hamilton Johnston,145
Alphonse Maria Mucha,146
Henriette Ronner-Knip,147
Marsden Hartley,148
Anton Raphael Mengs,149
Angelica Kauffmann,150
Guido Reni,151
Edouard (Jean-Edouard) Vuillard,152
Cassius Marcellus Coolidge,153
Sir Lawrence Alma-Tadema,154
Bartolome Esteban Murillo,155
Paolo Veronese (Caliari),157
Charles Henri Leickert,158
Giuseppe Pellizza da Volpedo,159
J. Haier,160
Georges Lacombe,161
Jacopo Tintoretto (Robusti),162
Victor Tortez,163
Horatio Henry Couldery,164
Lorenzo Lippi,165
Frida Kahlo,166
Blanche Odin,167
Paul-Gustave Fischer,168
Albert Lambron Des Pilitieres,169
Arthur Heyer,170
Arthur von Ferraris,171
Melchior de Hondecoeter,172
Allan Ramsay,173
William (Turner of Oxford) Turner,174
Auguste Rodin,175
English Provincial School,176
Ferdinand II Piloty,177
Camille Nicolas Lambert,178
Jean-Victor Schnetz,179
Correggio (Antonio Allegri),180
Franz Xavier Winterhalter,181
Victor Mahu,182
Louis-Maurice Boutet de Monvel,183
Peter Maverick,184
Charles Joseph Frederick Soulacroix,185
Charles-Antoine Coypel,186
Heywood Hardy,187
Jean-Baptiste Olive,188
Charles Hermans,189
Jonas Lie,190
"(after) Millais, Sir John Everett",191
Jean Baptiste Greuze,192
Antonio Gisbert,193
Bunsei,194
Evelyn Pickering De Morgan,195
Sir James Guthrie,196
Ferrau Fenzoni,197
Sir John Everett Millais,198
Philippe Rousseau,199
Wilfred Jenkins,202
(after) Franz Von Defregger,203
Charles van den Eycken,204
Edward Moran,205
H. Pittard,206
Theobald Reinhold von Oer,207
Dutch School,208
Jan Van Huysum,209
Maximilien Luce,210
Franz Andreas Bauer,211
Rosa Jameson,212
Henry W. Hansen,213
William Small,214
Benjamin Ferrers,215
John Sell Cotman,217
Melozzo da Forli,218
Edward Robert Hughes,219
William Ward,220
James Howe,221
Franz Xaver Messerschmidt,222
Karl Friedrich Schinkel,223
Jean Auguste Dominique Ingres,224
James Faulds,225
Federico Andreotti,226
Eduardo Rosales,227
David The Younger Ryckaert,228
Michel-Ange Houasse,229
Paul Klee,230
James Fairman,231
Katsushika Hokusai,232
Jean Fouquet,233
Charles Martin Hardie,234
Luca Postiglione,235
Catherine M. Wood,236
Robert Gemmell Hutchison,237
Frederick Goodall,238
James Abbott McNeill Whistler,240
John James Audubon,241
Bernardo Bellotto (Canaletto),242
Theofilos (Hadjimichail),243
George Henry Boughton,244
John Frederick Kensett,245
(after) Giovanni Paolo Panini,246
John Arthur Lomax,247
John William Haynes,248
Giuliano Bugiardini,249
Louis Janmot,250
George De Forest Brush,251
Walter Boodle,252
Jean-Francois Arrigoni Neri,253
Emil Pap,254
David Oyens,255
Rodrigo de Villandrando,256
Ambrose Dudley,257
Euphemie Muraton,258
Iulii Iul'evich (Julius) Klever,259
Hans Memling,260
Edgar Melville Ward,261
Russian Unknown Master,262
Henri-Jules-Jean Geoffroy (Geo),263
Frank Gresley,265
Sir Godfrey Kneller,266
Frank Gascoigne Heath,267
Giacinto Gigante,269
Agost Benkhard,270
Karl Witkowski,271
Victor-Gabriel Gilbert,272
George A. Boyle,273
Robert Jobling,274
Alfred Glendening,275
Rene Avigdor,276
Arthur Wellington Fowles,277
Cornelis Lieste,278
Max Liebermann,279
Jose Llaneces,280
Daniel Sherrin,281
English School,282
Pieter II Peetersz,283
Jan Hillebrand Wijsmuller,284
Edward Percy Moran,285
Jacek Malczewski,287
Pieter Casteels,288
Joshua Cristall,289
Elisabeth Vigee-Lebrun,290
Thure de Thulstrup,291
August Theodor Schoefft,292
Edouard Travies,293
Edward Armitage,294
George Cattermole,295
Edouard Bisson,296
John Gabriel Stedman,297
"Willem van de, the Younger Velde",298
George Turner,299
Edward Wilkins Waite,300
Francois Clouet,302
Tompkins Harrison Matteson,303
John William Waterhouse,304
Zdzislaw Piotr Jasinski,305
"(after) Pugin, Augustus Charles",306
Willem Claesz. Heda,308
Ignace Henri Jean Fantin-Latour,309
"Didier Barra (Monsu, Desiderio)",310
Leon Francois Comerre,311
(Giovanni Antonio Canal) Canaletto,312
Luca Carlevaris,312
Canaletto,312
(after) (Giovanni Antonio Canal) Canaletto,312
Pietro Benvenuti,313
Gherardo Di Jacopo Starnina,314
Tiziano Vecellio (Titian),315
William Hoare,316
Georges Seurat,317
Charles Rennie Mackintosh,318
(after) Francois Boucher,319
William Michael Harnett,320
(after) Sir Edward Coley Burne-Jones,321
Artemisia Gentileschi,322
Umberto Boccioni,323
Martin van Maele,324
Eugene de Blaas,325
French School,326
Jacob Jordaens,327
Anders Zorn,328
Sarah Stone,330
Hans Zatzka,331
Sevillian School,332
Jan Sanders Van Hemessen,333
Benjamin Williams Leader,334
John William Whiteley,335
Henry Gillard Glindoni,336
Ladislas Wladislaw von Czachorski,337
Pierre-Jacques Volaire,338
Eastman Johnson,339
William Sidney Mount,340
François Boucher,341
Jacques Louis David,341
Jean-Baptiste-Simeon Chardin,341
Jean-Honore Fragonard,341
Thomas Gainsborough,341
Alexandre Evariste Fragonard,341
Pierre-Jacques Cazes,341
Noel-Nicolas Coypel,341
Charles-André van Loo,341
Hubert-Francois Gravelot,341
Jacques Delanoy,342
John O'Connor,343
Dr. H.A. Oldfield,344
Otto Greiner,345
Emile Signol,346
Timoteo Viti,347
Emil Nolde,348
Jean Joseph Weerts,350
Sebastiano Lazzari,351
Leon Frederic,352
Edward Matthew Hale,353
Leopold van Stoll,354
Jan Steen,355
Sir Peter Lely,356
Aubrey Vincent Beardsley,357
Benjamin West,358
Giuseppe Arcimboldo,359
Carl Vilhelm Holsoe,360
Carlo Dolci,361
Elihu Vedder,363
Sir Francis Grant,364
Thomas Girtin,365
(after) Willem Van Mieris Leiden,366
George Elgar Hicks,367
(after) Ambrosius Benson,368
John Adam P. Houston,369
Albert Anker,370
Jean Francois Colson,371
Nathan Theodore Fielding,372
Asher Brown Durand,373
Victor Hugo,374
Pieter The Younger Brueghel,375
Henri Gascard,376
Marquise de Brehan,377
Leon-Jean-Basile Perrault,378
Russian School,379
Pierre Garnier,380
Edward Robert Hughes R.W.S.,381
Felicien Rops,382
Jan van der (Joannes Stradanus) Straet,383
Vittorio Reggianini,384
(after) Federico Zuccaro,385
Edouard Frédéric Wilhelm Richter,386
Genaro Perez-Villamil,387
Alexis de Leeuw,388
(after) Sebastian Vrancx,389
Henry Alexander Bowler,390
Pieter Schoubroeck,391
(after) Antonis Mor,392
Franz von Stuck,393
Louis Léopold Boilly,394
Hans Dahl,395
Saturnino Herran,396
Leon Charles Huber,397
Bernard Picart,398
Christen Brun,399
Mihaly Munkacsy,400
Frederick Henry Townsend,401
Giovanni Francesco Guercino (BARBIERI),402
Edward Lear,403
Henri Lebasque,404
Herri met de Bles,405
Pompeo Mariani,406
(after) Sir Joshua Reynolds,407
Daniel Ridgway Knight,408
Philip Alexius De Laszlo,409
Joseph-Austin Benwell,410
(after) Carlo Maratta Or Maratti,411
Wassily Kandinsky,412
El Greco (Domenikos Theotokopoulos),413
Charles Le Brun,414
Italian School,415
Pompeo Gerolamo Batoni,416
Vincent G. Stiepevich,417
Alexander Ivanov,418
Samuel Page,420
William Shakespeare Burton,421
(after) Abraham Janssens Van Nuyssen,422
Joseph Munsch,423
Konstantin Egorovich Egorovich Makovsky,424
John Byam Liston Shaw,425
Nathaniel Currier,426
Ivan Fedorovich Choultse,427
Janos Janko,428
Sir Edwin Henry Landseer,429
Samuel Palmer,430
P. Joos van Gent and Berruguete,431
(after) Luca Cambiaso,432
Henri Edmond Cross,433
Isaak Ilyich Levitan,434
William Clarke Wontner,435
Pieter De Hooch,436
Hubert & Jan van Eyck,437
Francesco Vinea,438
Carl Gutherz,439
Pierre Mignard,440
Guercino,441
Louis Vivin,442
Jose Alsina,443
George Moore Henton,444
Edwaert Collier,445
Lucas Gassel,446
Francis Coates Jones,447
Jusepe de Ribera,448
Max Slevogt,449
(after) Tiziano Vecellio (Titian),450
Francis Danby,451
Giovanni Battista Tiepolo,452
Daniel Maclise,453
"(after) Kneller, Sir Godfrey",454
Catherine Weekes,455
Edouard Benedictus,456
Antonio Molinari,458
(after) Louis De Caullery,459
Otto Didrik Ottesen,460
Charles Cooper Henderson,461
Leon Herbo,462
"(after) Huysmans, Jacob",463
Emile Eisman Semenovsky,464
Auguste Forbin,465
Utagawa Kunisada,466
Horace Vernet,467
Fritz Thaulow,468
James Sant,469
Archibald Thorburn,470
Noel Halle,471
Giovanni Battista (Baciccio) Gaulli,472
Giovanni Battista Piranesi,473
Margaretha Roosenboom,474
Glyn Warren Philpot,475
Salvador Dali (inspired by),476
Aby Altson,477
"George Dunlop, R.A., Leslie",478
Peder Monsted,479
"(after) Hoefnagel, Joris",482
Johannes Becx,483
Eugene Henri Cauchois,484
Johann Andreas Graff,485
Myles Birket Foster,486
Philipp Otto Runge,487
Klavdiy Vasilievich Lebedev,488
Leon Augustin Lhermitte,489
John Anster Fitzgerald,490
William Stephen Coleman,491
Continental School,492
William Hodges,493
James Barry,494
Jan van Kessel,497
Juan Luna y Novicio,498
Nicolas Lancret,499
Robert Alexander Hillingford,500
"Giovanni Battista Salvi, Il Sassoferrato",501
Giuseppe de Nittis,502
Adolf Lins,503
George William Joy,504
Giovanni Battista Pittoni the younger,505
Alexandre-Francois Desportes,506
Jacob Marrel,507
Alexei Alexeivich Harlamoff,508
Jules Frederic Ballavoine,509
Raymond Delamarre,510
George Romney,511
Emile Munier,512
Alexander Pope,513
Yves Tanguy,514
Frederick Marianus Kruseman,515
Andre Henri Dargelas,516
Barbara Krafft,517
Hans Olaf Heyerdahl,518
Ralph Albert Blakelock,519
Jean Frédéric Bazille,520
Tullio Garbari,521
Walter Frier,522
Kazimir Severinovich Malevich,523
"(after) Landseer, Sir Edwin",524
James Holland,525
Maria Sibylla Merian,526
Grafton Tyler Brown,527
Fritz von Uhde,528
Frederick Morgan,529
Georg Emil Libert,530
Jules Leroy,531
Marie Francois Firmin-Girard,532
Nicolae Grigorescu,533
Karl Kaufmann,534
Robert Gibb,535
Michael Sweerts,538
Diego Rivera,539
Suzanne Valadon,540
Jan Baptiste de Landtsheer,542
Francesco Del Cossa,543
Pierre Bonnard,544
Ludwig Deutsch,545
James Kerr-Lawson,546
Teodor Axentowicz,547
Charles Ball,548
Jean Antoine Laurent,549
John Hoppner,550
Christian Krohg,551
John Atkinson Grimshaw,552
Jacopo Vignali,553
Sidney Starr,554
Gentile Da Fabriano,555
Mathieu Le Nain,556
Sir Edward John Poynter,557
Giacomo Favretto,558
Ferdinand Bol,559
László Paal,560
(after) Anthonis Mor Van Dashorst,561
(studio of) Clouet,562
Willem Cornelisz. Duyster,563
Joseph Rodefer DeCamp,564
(after) Andrea Del Sarto,565
Paul De Longpre,566
Christian F. Schwerdt,567
Cornelis De Heem,568
Richard Dadd,569
William Carse,570
Aureliano de Beruete y Moret,571
Petrus Van Schendel,572
Antoine Vollon,573
Vincenzo Camuccini,574
David James,575
William Clarkson Stanfield,576
Gleyre Charles,577
Thomas Couture,577
Jules Joseph Lefebvre,577
Gustave Clarence Rodolphe Boulanger,577
Paul Delaroche,577
Georges Antoine Rochegrosse,577
Jean-Léon Gérôme,577
Alfred Sisley,577
Mary Cassatt,577
Odilon Redon,577
Rembrandt Van Rijn,578
(after) Harmenszoon Van Rijn Rembrandt,578
Pieter Pietersz. Lastman,578
(after) Carel Fabritius,578
Henri De Toulouse-Lautrec,580
Elizabeth Stanhope Forbes,580
René Princeteau,580
Léon Bonnat,580
Fernand-Anne Piestre Cormon,580
Fra Filippo Lippi,583
Sandro Botticelli,583
Sandro Botticelli (Alessandro Filipepi),583
Michelangelo Merisi da Caravaggio,584
Simone Peterzano,584
Caravaggio,584
Lord Frederick Leighton,589
Edward Jakob Von Steinle,589
Giovanni Costa,589
Claude Gillot,592
Claude III Audran,592
Jean-Antoine Watteau,592
(after) William Etty,593
Sir Thomas Lawrence,593
Augustus Charles Pugin,595
Joseph Nash,595
Leonardo Da Vinci,596
Andrea del Verrocchio,596
Giorgio da Castelfranco Veneto,597
Giovanni Bellini,597
Sebastiano Del Piombo (Luciani),597
Norman Garstin,598
Carolus Duran,598
Charles Auguste Steuben,599
Sophie Gengembre Anderson,599
Alfred Dedreux,601
Théodore Géricault,601
Léon Cogniet,601
James Baker Pyne,602
William James Muller,602
(after) Alexis-Simon Belle,605
Francois de Troy,605
Gustave Moreau,606
Henri Matisse,606
William-Adolphe Bouguereau,606
Lorenzo Costa,608
Cosme Tura,608
Ercole de' Roberti,608
Antonello da Messina Messina,609
Andrea Solario,609
Cosimo Piero di,610
Cosimo Rosselli,610
Giuseppe Maria Crespi,611
Carlo Cignani,611
Utagawa or Ando Hiroshige,612
Utagawa Toyohiro,612
"and Snyders, F. Rubens, Peter Paul",615
Tobias van Haecht,615
Adam van Noort,615
Otto van Veen,615
