filename,logit,time
.\images_real\10107.png,-8.542438,6.770576
.\images_real\10108.png,-14.719231,5.605714
.\images_real\10109.png,-2.469345,5.721093
.\images_real\1011.png,-3.411990,7.280043
.\images_real\10110.png,-12.415423,5.801065
.\images_real\10111.png,-6.201782,5.774972
.\images_real\10112.png,-8.711413,5.869609
.\images_real\10113.png,-14.354887,3.862271
.\images_real\10114.png,-6.564946,5.192591
.\images_real\10115.png,-9.898883,6.066696
.\images_real\10116.png,-9.472470,5.690740
.\images_real\10117.png,-8.808465,5.711864
.\images_real\10118.png,-9.386685,4.319435
.\images_real\10119.png,-8.145860,5.581955
.\images_real\1012.png,-9.482879,5.794059
.\images_real\10120.png,-2.294619,5.278612
.\images_real\10121.png,-7.483208,5.288955
.\images_real\10122.png,-11.573812,6.227042
.\images_real\10123.png,-8.621864,5.393090
.\images_real\10124.png,-6.863370,5.734906
.\images_real\10125.png,-10.382234,5.941988
.\images_real\10126.png,-3.454046,5.753223
.\images_real\10127.png,-6.403529,5.570020
.\images_real\10128.png,-5.299352,5.459754
.\images_real\10129.png,-6.555115,6.549661
.\images_real\1013.png,-4.210616,5.407053
.\images_real\10130.png,-5.139955,5.431435
.\images_real\10131.png,-5.857981,4.793564
.\images_real\10132.png,-3.931264,5.049009
.\images_real\10133.png,-5.885626,6.122894
.\images_real\10134.png,-6.223288,5.875297
.\images_real\10135.png,-6.642409,5.314918
.\images_real\10136.png,-5.639439,4.713003
.\images_real\10137.png,-3.454094,6.137801
.\images_real\10138.png,-3.576860,5.072359
.\images_real\10139.png,-5.400563,5.994963
.\images_real\1014.png,-2.062839,5.401134
.\images_real\10140.png,-6.109931,6.285813
.\images_real\10141.png,-2.924692,6.675372
.\images_real\10142.png,-2.608629,5.517661
.\images_real\10143.png,-3.278139,5.130518
.\images_real\10144.png,-4.137910,6.102207
.\images_real\10145.png,-1.916605,5.640837
.\images_real\10146.png,-1.545738,6.475591
.\images_real\10147.png,-0.083648,6.496822
.\images_real\10148.png,-6.041749,6.086169
.\images_real\10149.png,-4.159266,6.223369
.\images_real\1015.png,-7.105381,7.833982
.\images_real\10150.png,-6.596010,5.954487
.\images_real\10151.png,-5.034227,5.872233
.\images_real\10152.png,-2.948357,5.657511
.\images_real\10153.png,-4.217084,6.108197
.\images_real\10154.png,-6.817931,5.882250
.\images_real\10155.png,-5.744301,6.379841
.\images_real\10156.png,-1.766882,6.503067
.\images_real\10157.png,-4.631685,5.798818
.\images_real\10158.png,-3.607973,6.780431
.\images_real\10159.png,-2.723363,5.134896
.\images_real\1016.png,-2.786251,5.865161
.\images_real\10160.png,-6.481336,6.229136
.\images_real\10161.png,-3.207279,6.420582
.\images_real\10162.png,-6.281875,4.049143
.\images_real\10163.png,-7.005231,5.462301
.\images_real\10164.png,-7.161900,6.223779
.\images_real\10165.png,-9.385051,4.551131
.\images_real\10166.png,-5.436390,6.446986
.\images_real\10167.png,0.136519,6.386739
.\images_real\10168.png,-5.823618,6.987083
.\images_real\10169.png,-7.156447,6.919528
.\images_real\1017.png,-4.574173,5.569622
.\images_real\10170.png,-3.350550,6.342530
.\images_real\10171.png,-6.914237,6.315171
.\images_real\10172.png,-6.671089,6.561495
.\images_real\10173.png,-6.085596,6.582556
.\images_real\10174.png,-3.812432,5.332490
.\images_real\10175.png,-8.433958,7.773218
.\images_real\10176.png,-16.050823,6.537411
.\images_real\10177.png,-4.802472,6.321040
.\images_real\10178.png,-6.995430,6.052831
.\images_real\10179.png,-4.983515,6.174625
.\images_real\1018.png,-9.036140,5.668260
.\images_real\10180.png,-5.633793,6.682454
.\images_real\10181.png,-3.409510,6.177528
.\images_real\10182.png,-2.613629,6.498087
.\images_real\10183.png,-4.459710,4.700243
.\images_real\10184.png,-4.026761,6.004077
.\images_real\10185.png,-2.014900,6.326138
.\images_real\10186.png,-6.700266,5.174122
.\images_real\10187.png,-4.129021,5.855589
.\images_real\10188.png,-2.141297,6.392374
.\images_real\10189.png,-3.931376,6.390296
.\images_real\1019.png,-4.730325,5.740344
.\images_real\10190.png,-5.927186,6.303600
.\images_real\10191.png,-4.819075,6.266985
.\images_real\10192.png,-6.136472,4.699376
.\images_real\10193.png,-3.505591,6.364448
.\images_real\10194.png,-3.166502,6.428946
.\images_real\10195.png,-4.145534,5.803921
.\images_real\10196.png,-5.881962,6.061781
.\images_real\10197.png,-3.034361,6.154030
.\images_real\10198.png,-18.517422,5.294303
.\images_real\10199.png,-14.794296,5.374466
.\images_real\102.png,-10.005673,5.791777
.\images_real\1020.png,-4.250148,7.512124
.\images_real\10200.png,-10.770895,5.063001
.\images_real\10201.png,-7.150609,7.058159
.\images_real\10202.png,-9.571196,5.330375
.\images_real\10203.png,-10.459229,7.213021
.\images_real\10204.png,-11.410132,5.509835
.\images_real\10205.png,-11.713572,2.830380
.\images_real\10206.png,-13.939913,4.217230
.\images_real\10207.png,-11.723998,4.151199
.\images_real\10208.png,-16.447351,3.650252
.\images_real\10209.png,-9.365661,7.380272
.\images_real\1021.png,-9.240667,5.371926
.\images_real\10210.png,-13.046825,6.490522
.\images_real\10211.png,-13.019643,5.329619
.\images_real\10212.png,-9.359793,6.149480
.\images_real\10213.png,-13.202724,5.990023
.\images_real\10214.png,-18.115032,4.070313
.\images_real\10215.png,-18.286459,3.408319
.\images_real\10216.png,-7.161568,5.791468
.\images_real\10217.png,-13.350287,6.462269
.\images_real\10218.png,-13.161003,6.832359
.\images_real\10219.png,-8.540278,6.116793
.\images_real\1022.png,-10.517227,7.613460
.\images_real\10220.png,-8.413606,6.652844
.\images_real\10221.png,-7.435836,4.162665
.\images_real\10222.png,-13.365641,5.121472
.\images_real\10223.png,-12.911027,5.333612
.\images_real\10224.png,-9.079066,4.439184
.\images_real\10225.png,-5.027379,4.355080
.\images_real\10226.png,-6.749387,5.669348
.\images_real\10227.png,-2.179332,5.789492
.\images_real\10228.png,-8.079649,4.652663
.\images_real\10229.png,-10.634523,3.899596
.\images_real\1023.png,-5.879609,5.061978
.\images_real\10230.png,-8.334322,2.639604
.\images_real\10231.png,-6.246894,5.647887
.\images_real\10232.png,-7.260666,3.532726
.\images_real\10233.png,-10.906824,3.896296
.\images_real\10234.png,-3.649897,5.866152
.\images_real\10235.png,-2.549673,3.318550
.\images_real\10236.png,-8.014663,2.019335
.\images_real\10237.png,-7.021634,4.646623
.\images_real\10238.png,-9.315173,6.042449
.\images_real\10239.png,-3.615313,5.826874
.\images_real\1024.png,-11.835617,6.456557
.\images_real\10240.png,-2.666614,6.059042
.\images_real\10241.png,-1.988427,6.041006
.\images_real\10242.png,-3.538546,7.545673
.\images_real\10243.png,-4.889335,6.427538
.\images_real\10244.png,-8.153291,4.040908
.\images_real\10245.png,-2.753034,5.827080
.\images_real\10246.png,-7.409057,5.717402
.\images_real\10247.png,-8.726400,5.283638
.\images_real\10248.png,-5.776215,6.880474
.\images_real\10249.png,-6.972398,4.100334
.\images_real\1025.png,-10.595791,4.756157
.\images_real\10250.png,-4.068069,4.276055
.\images_real\10251.png,-5.751433,5.190091
.\images_real\10252.png,-5.527538,5.868217
.\images_real\10253.png,-6.763228,5.183548
.\images_real\10254.png,-7.856764,5.401258
.\images_real\10255.png,-4.225730,6.336129
.\images_real\10256.png,-8.378783,4.954879
.\images_real\10257.png,-8.248291,4.827597
.\images_real\10258.png,-1.935519,4.453713
.\images_real\10259.png,-9.744933,6.419178
.\images_real\1026.png,-9.141126,4.995037
.\images_real\10260.png,-4.063966,4.318944
.\images_real\10261.png,-9.240251,6.294785
.\images_real\10262.png,-8.512135,5.306216
.\images_real\10263.png,-9.080319,4.566127
.\images_real\10264.png,-10.580503,5.669164
.\images_real\10265.png,-4.871351,5.435379
.\images_real\10266.png,-6.450143,5.186562
.\images_real\10267.png,-8.942879,6.289829
.\images_real\10268.png,-3.397156,6.130487
.\images_real\10269.png,-4.091620,7.198950
.\images_real\1027.png,-9.759418,6.110559
.\images_real\10270.png,-5.610352,6.191006
.\images_real\10271.png,-13.962017,2.138625
.\images_real\10272.png,-14.391931,2.107751
.\images_real\10273.png,-10.182250,5.381581
.\images_real\10274.png,-19.154001,1.013189
.\images_real\10275.png,-7.313210,3.234357
.\images_real\10276.png,-12.930949,3.284475
.\images_real\10277.png,-6.110581,2.636468
.\images_real\10278.png,-16.405001,6.810382
.\images_real\10279.png,-15.383471,2.736599
.\images_real\1028.png,-7.858146,7.444138
.\images_real\10280.png,-14.502425,4.870652
.\images_real\10281.png,-5.229755,7.152426
.\images_real\10282.png,-11.960709,4.546274
.\images_real\10283.png,-6.826322,5.923550
.\images_real\10284.png,-8.540044,4.501570
.\images_real\10285.png,-8.283935,4.732002
.\images_real\10286.png,-9.445686,6.211175
.\images_real\10287.png,-13.547399,6.588258
.\images_real\10288.png,-12.075939,4.523546
.\images_real\10289.png,-16.856794,7.348887
.\images_real\1029.png,-10.349213,5.764441
.\images_real\10290.png,-5.045421,5.289046
.\images_real\10291.png,-5.513754,5.407152
.\images_real\10292.png,-5.257172,6.979359
.\images_real\10293.png,-3.182990,4.933763
.\images_real\10294.png,-6.169388,4.579496
.\images_real\10295.png,-6.304862,4.659670
.\images_real\10296.png,-7.539332,5.239107
.\images_real\10297.png,-8.242139,5.078503
.\images_real\10298.png,-4.756280,5.948428
.\images_real\10299.png,-4.334175,5.619644
.\images_real\103.png,-11.448192,4.780531
.\images_real\1030.png,-15.299726,4.951844
.\images_real\10300.png,-5.053485,6.218698
.\images_real\10301.png,-2.939490,6.579448
.\images_real\10302.png,-2.804258,5.360808
.\images_real\10303.png,-7.852510,5.901402
.\images_real\10304.png,-11.380797,5.350390
.\images_real\10305.png,-3.797162,5.661350
.\images_real\10306.png,-7.358012,5.240605
.\images_real\10307.png,-5.787433,5.284401
.\images_real\10308.png,-10.997143,5.669786
.\images_real\10309.png,-7.750338,5.353399
.\images_real\1031.png,-7.785639,5.006740
.\images_real\10310.png,-13.616906,5.924601
.\images_real\10311.png,-6.960729,4.885694
.\images_real\10312.png,-10.740090,5.293509
.\images_real\10313.png,-12.615203,5.796217
.\images_real\10314.png,-7.892523,6.073629
.\images_real\10315.png,-12.852670,5.564058
.\images_real\10316.png,-5.630950,5.546350
.\images_real\10317.png,-4.718416,5.915008
.\images_real\10318.png,-8.258816,5.199192
.\images_real\10319.png,-5.722576,5.388434
.\images_real\1032.png,-13.647937,7.707692
.\images_real\10320.png,-3.955418,4.946742
.\images_real\10321.png,-4.465237,5.217660
.\images_real\10322.png,-5.432872,5.585423
.\images_real\10323.png,-5.638458,4.167299
.\images_real\10324.png,-7.557116,4.950373
.\images_real\10325.png,-2.800127,5.244085
.\images_real\10326.png,-7.416849,5.468724
.\images_real\10327.png,-4.370150,5.536164
.\images_real\10328.png,-3.976568,6.576425
.\images_real\10329.png,-2.613241,6.458926
.\images_real\1033.png,-21.334084,7.705534
.\images_real\10330.png,-7.840878,6.124137
.\images_real\10331.png,-5.145001,5.656910
.\images_real\10332.png,-2.046687,5.423125
.\images_real\10333.png,-5.795002,6.112402
.\images_real\10334.png,-2.853032,6.627618
.\images_real\10335.png,-5.854583,5.287868
.\images_real\10336.png,-5.647743,6.638945
.\images_real\10337.png,-7.292692,6.494258
.\images_real\10338.png,-4.049099,6.512425
.\images_real\10339.png,-6.389849,6.041111
.\images_real\1034.png,-15.766802,4.613461
.\images_real\10340.png,-4.473637,6.461806
.\images_real\10341.png,-6.579595,6.200797
.\images_real\10342.png,-4.885691,6.520846
.\images_real\10343.png,-5.543030,5.518290
.\images_real\10344.png,-4.360180,6.068861
.\images_real\10345.png,-9.357988,5.217553
.\images_real\10346.png,-6.126964,4.944771
.\images_real\10347.png,-5.283522,4.891713
.\images_real\10348.png,-4.054886,5.391217
.\images_real\10349.png,-5.164723,6.516015
.\images_real\1035.png,-13.960209,5.393778
.\images_real\10350.png,-5.574162,4.831250
.\images_real\10351.png,-6.013452,4.207415
.\images_real\10352.png,-15.654006,5.481246
.\images_real\10353.png,-9.282286,6.436227
.\images_real\10354.png,-6.402007,6.249212
.\images_real\10355.png,-4.232008,6.858717
.\images_real\10356.png,-7.455138,4.922641
.\images_real\10357.png,-5.579520,4.773185
.\images_real\10358.png,-7.058032,6.819826
.\images_real\10359.png,-7.051424,7.567961
.\images_real\1036.png,-7.243489,7.318610
.\images_real\10360.png,-6.456718,5.564967
.\images_real\10361.png,-3.892353,5.449697
.\images_real\10362.png,-5.802125,6.332268
.\images_real\10363.png,-3.439767,5.726232
.\images_real\10364.png,-6.835508,5.637321
.\images_real\10365.png,-3.942934,6.450214
.\images_real\10366.png,-7.567790,6.374071
.\images_real\10367.png,-5.694769,6.656415
.\images_real\10368.png,-3.614706,6.324688
.\images_real\10369.png,-4.305717,5.681140
.\images_real\1037.png,-11.791504,7.751864
.\images_real\10370.png,-8.164453,5.513060
.\images_real\10371.png,-7.916584,6.475991
.\images_real\10372.png,-4.949687,5.986762
.\images_real\10373.png,-6.834167,6.424257
.\images_real\10374.png,-6.816532,6.367285
.\images_real\10375.png,-3.785972,6.182606
.\images_real\10376.png,-2.454033,5.552114
.\images_real\10377.png,-8.328919,5.837321
.\images_real\10378.png,-4.526125,5.180852
.\images_real\10379.png,-8.075068,6.055280
.\images_real\1038.png,-10.737416,5.123140
.\images_real\10380.png,-3.555107,4.660474
.\images_real\10381.png,-5.545569,5.915367
.\images_real\10382.png,-3.599060,6.195047
.\images_real\10383.png,-8.722009,6.379791
.\images_real\10384.png,-3.736323,6.005855
.\images_real\10385.png,-8.469801,6.161751
.\images_real\10386.png,-6.119306,5.711927
.\images_real\10387.png,-5.702141,6.757494
.\images_real\10388.png,-8.513454,5.784786
.\images_real\10389.png,-5.242343,6.619908
.\images_real\1039.png,-8.000804,5.411783
.\images_real\10390.png,-3.337190,6.214442
.\images_real\10391.png,-4.926673,4.231085
.\images_real\10392.png,-8.952758,4.446006
.\images_real\10393.png,-2.827339,6.437880
.\images_real\10394.png,-3.881117,5.555864
.\images_real\10395.png,-3.855475,6.011616
.\images_real\10396.png,-8.007287,5.412676
.\images_real\10397.png,-12.165469,5.969082
.\images_real\10398.png,-9.008592,5.311401
.\images_real\10399.png,-10.093736,7.718823
.\images_real\104.png,-6.957373,5.152868
.\images_real\1040.png,-16.344259,4.328025
.\images_real\10400.png,-7.911070,3.343503
.\images_real\10401.png,-12.863540,4.765072
.\images_real\10402.png,-9.881162,5.140215
.\images_real\10403.png,-7.591486,5.214930
.\images_real\10404.png,-7.366199,5.357328
.\images_real\10405.png,-15.022779,5.258641
.\images_real\10406.png,-10.511227,5.423000
.\images_real\10407.png,-9.585719,4.944080
.\images_real\10408.png,-6.208768,6.355656
.\images_real\10409.png,-14.660518,2.977110
.\images_real\1041.png,-11.365957,4.926737
.\images_real\10410.png,-13.428371,3.379077
.\images_real\10411.png,-5.808460,6.576049
.\images_real\10412.png,-6.116202,7.690125
.\images_real\10413.png,-10.702323,5.329873
.\images_real\10414.png,-14.339476,5.340986
.\images_real\10415.png,-5.052359,6.210001
.\images_real\10416.png,-9.267433,6.522605
.\images_real\10417.png,-9.658942,6.727773
.\images_real\10418.png,-7.826961,6.777766
.\images_real\10419.png,-15.388648,5.288643
.\images_real\1042.png,-9.844341,4.268216
.\images_real\10420.png,-5.738200,2.503881
.\images_real\10421.png,-6.026979,4.732737
.\images_real\10422.png,-8.137818,6.180482
.\images_real\10423.png,-9.309875,3.121589
.\images_real\10424.png,-9.465789,5.641283
.\images_real\10425.png,-3.960139,6.378002
.\images_real\10426.png,-4.493659,5.718727
.\images_real\10427.png,-4.612507,5.977713
.\images_real\10428.png,-5.025489,6.223413
.\images_real\10429.png,-5.717970,6.285897
.\images_real\1043.png,-9.393565,6.878320
.\images_real\10430.png,-3.159498,6.461132
.\images_real\10431.png,-4.279417,6.335643
.\images_real\10432.png,-5.436118,6.415409
.\images_real\10433.png,-4.154319,6.010375
.\images_real\10434.png,-4.880132,6.229067
.\images_real\10435.png,-9.035034,6.253520
.\images_real\10436.png,-9.714533,5.844780
.\images_real\10437.png,-6.770115,7.069192
.\images_real\10438.png,-4.218803,5.531969
.\images_real\10439.png,-11.523890,6.324246
.\images_real\1044.png,-10.908497,5.937463
.\images_real\10440.png,-6.001832,6.122435
.\images_real\10441.png,-10.391803,6.256901
.\images_real\10442.png,-4.790836,5.771199
.\images_real\10443.png,-4.739155,6.433214
.\images_real\10444.png,-7.587651,6.225427
.\images_real\10445.png,-7.326722,6.311855
.\images_real\10446.png,-4.202312,5.802628
.\images_real\10447.png,-9.506409,4.837265
.\images_real\10448.png,-9.305723,6.838993
.\images_real\10449.png,-11.809538,3.663832
.\images_real\1045.png,-14.741446,5.475021
.\images_real\10450.png,-6.411023,6.119403
.\images_real\10451.png,-13.052688,5.677647
.\images_real\10452.png,-9.953335,6.699265
.\images_real\10453.png,-9.416427,6.835498
.\images_real\10454.png,-6.575788,6.162488
.\images_real\10455.png,-5.600982,6.670533
.\images_real\10456.png,-9.416421,5.296478
.\images_real\10457.png,-6.170595,6.153574
.\images_real\10458.png,-8.609547,5.738204
.\images_real\10459.png,-7.277004,3.303876
.\images_real\1046.png,-15.591050,4.874368
.\images_real\10460.png,-9.017938,6.308164
.\images_real\10461.png,-12.709353,6.646296
.\images_real\10462.png,-8.266082,4.855804
.\images_real\10463.png,-8.929165,6.324971
.\images_real\10464.png,-7.429488,6.222300
.\images_real\10465.png,-6.939409,3.408060
.\images_real\10466.png,-10.843500,6.527028
.\images_real\10467.png,-11.741944,6.493691
.\images_real\10468.png,-4.296061,5.729560
.\images_real\10469.png,-10.204753,6.826550
.\images_real\1047.png,-12.959608,4.730473
.\images_real\10470.png,-3.292756,6.264287
.\images_real\10471.png,-12.146547,6.672497
.\images_real\10472.png,-7.247463,6.429540
.\images_real\10473.png,-4.545199,6.121285
.\images_real\10474.png,-9.073715,5.546260
.\images_real\10475.png,-8.406215,5.995502
.\images_real\10476.png,-3.992033,6.288435
.\images_real\10477.png,-5.775280,7.036920
.\images_real\10478.png,-7.515378,7.413939
.\images_real\10479.png,-4.706152,5.915497
.\images_real\1048.png,-7.282300,5.490121
.\images_real\10480.png,-7.317704,6.051362
.\images_real\10481.png,-5.766621,4.401536
.\images_real\10482.png,-11.380299,5.912133
.\images_real\10483.png,-13.031485,6.322834
.\images_real\10484.png,-8.304105,5.516959
.\images_real\10485.png,-10.596395,6.119206
.\images_real\10486.png,-8.580841,5.487464
.\images_real\10487.png,-7.001908,5.586138
.\images_real\10488.png,-11.501220,5.749420
.\images_real\10489.png,-8.589793,4.839640
.\images_real\1049.png,-10.958972,6.128650
.\images_real\10490.png,-6.089602,5.079598
.\images_real\10491.png,-4.088867,5.952828
.\images_real\10492.png,-7.485101,3.680469
.\images_real\10493.png,-5.147646,6.250527
.\images_real\10494.png,-7.102763,6.432661
.\images_real\10495.png,-6.080174,5.219752
.\images_real\10496.png,-9.268093,5.541413
.\images_real\10497.png,-4.745114,5.176350
.\images_real\10498.png,-7.233523,4.341889
.\images_real\10499.png,-5.867565,4.869531
.\images_real\105.png,-4.345108,4.486508
.\images_real\1050.png,-13.371287,6.060066
.\images_real\10500.png,-4.591330,5.600518
.\images_real\10501.png,-5.591446,6.689748
.\images_real\10502.png,-6.534750,4.904770
.\images_real\10503.png,-5.913985,5.296985
.\images_real\10504.png,-6.109455,4.282877
.\images_real\10505.png,-10.453402,6.400381
.\images_real\10506.png,-8.241801,6.206580
.\images_real\10507.png,-4.162771,5.820959
.\images_real\10508.png,-8.894405,6.177010
.\images_real\10509.png,-3.688464,5.398942
.\images_real\1051.png,-9.064171,6.003586
.\images_real\10510.png,-5.818519,5.871425
.\images_real\10511.png,-6.457274,6.295356
.\images_real\10512.png,-3.376597,5.207230
.\images_real\10513.png,-10.171186,5.453524
.\images_real\10514.png,-2.615906,5.595065
.\images_real\10515.png,-7.794959,4.362419
.\images_real\10516.png,-3.260923,5.670502
.\images_real\1052.png,-7.533069,5.067682
.\images_real\1053.png,-5.160861,6.806468
.\images_real\1054.png,-12.653391,4.822331
.\images_real\1055.png,-4.638000,6.385701
.\images_real\1056.png,-13.335557,6.631481
.\images_real\1057.png,-10.877511,5.650445
.\images_real\1058.png,-9.433207,5.364742
.\images_real\1059.png,-8.746642,6.174510
.\images_real\106.png,-8.296295,7.255128
.\images_real\1060.png,-13.473565,7.677821
.\images_real\1061.png,-5.128273,5.239558
.\images_real\1062.png,-9.317506,5.205851
.\images_real\1063.png,-12.859508,5.836785
.\images_real\1064.png,-15.256031,5.461820
.\images_real\1065.png,-9.603842,6.411284
.\images_real\1066.png,-9.289998,5.895687
.\images_real\1067.png,-8.572202,7.190277
.\images_real\1068.png,-10.282718,5.522953
.\images_real\1069.png,-12.752444,6.191956
.\images_real\107.png,-6.768625,5.598870
.\images_real\1070.png,-11.836451,6.473871
.\images_real\1071.png,-11.650084,5.721667
.\images_real\1072.png,-3.890594,6.940296
.\images_real\1073.png,-8.128019,6.067121
.\images_real\1074.png,-7.100058,6.898494
.\images_real\1075.png,-10.678781,7.851883
.\images_real\1076.png,-7.806451,7.695495
.\images_real\1077.png,-8.795700,6.037351
.\images_real\1078.png,-8.138421,5.001440
.\images_real\1079.png,-8.697345,5.506107
.\images_real\108.png,-5.835666,6.260369
.\images_real\1080.png,-4.618606,6.570922
.\images_real\1081.png,-7.210765,7.051285
.\images_real\1082.png,-7.669233,4.614556
.\images_real\1083.png,-6.728777,6.651303
.\images_real\1084.png,-8.957760,6.651622
.\images_real\1085.png,-9.491968,5.484335
.\images_real\1086.png,-9.725081,5.541252
.\images_real\1087.png,-6.238780,6.496496
.\images_real\1088.png,-10.910560,6.447855
.\images_real\1089.png,-7.087592,7.728746
.\images_real\109.png,-5.663520,6.160344
.\images_real\1090.png,-8.370865,4.888245
.\images_real\1091.png,-6.940809,4.678037
.\images_real\1092.png,-9.063459,7.347048
.\images_real\1093.png,-5.929788,6.283494
.\images_real\1094.png,-7.708234,5.456981
.\images_real\1095.png,-4.895082,6.831051
.\images_real\1096.png,-4.687432,5.988976
.\images_real\1097.png,-10.678965,6.303784
.\images_real\1098.png,-9.563337,6.209315
.\images_real\1099.png,-5.567502,6.111814
.\images_real\11.png,-5.857641,4.487313
.\images_real\110.png,-14.408111,5.610808
.\images_real\1100.png,-6.090490,5.887229
.\images_real\1101.png,-13.146784,5.815500
.\images_real\1102.png,-10.113750,5.927610
.\images_real\1103.png,-8.212195,5.815901
